k	fr	to	eid	tau	t0	t1	kind
0	n28^0	n42^2	e43r	2	0	2	real
1	n28^1	n42^3	e43r	2	1	3	real
2	n28^2	n42^4	e43r	2	2	4	real
3	n28^3	n42^5	e43r	2	3	5	real
4	n28^4	n42^6	e43r	2	4	6	real
5	n28^5	n42^7	e43r	2	5	7	real
6	n28^6	n42^8	e43r	2	6	8	real
7	n28^7	n42^9	e43r	2	7	9	real
8	n28^8	n42^10	e43r	2	8	10	real
9	n28^9	n42^11	e43r	2	9	11	real
10	n28^10	n42^12	e43r	2	10	12	real
11	n28^11	n42^13	e43r	2	11	13	real
12	n28^12	n42^14	e43r	2	12	14	real
13	n28^13	n42^15	e43r	2	13	15	real
14	n28^14	n42^16	e43r	2	14	16	real
15	n28^15	n42^17	e43r	2	15	17	real
16	n28^16	n42^18	e43r	2	16	18	real
17	n28^17	n42^19	e43r	2	17	19	real
18	n28^18	n42^20	e43r	2	18	20	real
19	n28^19	n42^21	e43r	2	19	21	real
20	n28^20	n42^22	e43r	2	20	22	real
21	n28^21	n42^23	e43r	2	21	23	real
22	n28^22	n42^24	e43r	2	22	24	real
23	n28^23	n42^25	e43r	2	23	25	real
24	n28^24	n42^26	e43r	2	24	26	real
25	n28^25	n42^27	e43r	2	25	27	real
26	n28^26	n42^28	e43r	2	26	28	real
27	n28^27	n42^29	e43r	2	27	29	real
28	n28^28	n42^30	e43r	2	28	30	real
29	n28^29	n42^31	e43r	2	29	31	real
30	n28^30	n42^32	e43r	2	30	32	real
31	n28^31	n42^33	e43r	2	31	33	real
32	n28^32	n42^34	e43r	2	32	34	real
33	n28^33	n42^35	e43r	2	33	35	real
34	n28^34	n42^36	e43r	2	34	36	real
35	n28^35	n42^37	e43r	2	35	37	real
36	n28^36	n42^38	e43r	2	36	38	real
37	n28^37	n42^39	e43r	2	37	39	real
38	n28^38	n42^40	e43r	2	38	40	real
39	n28^39	n42^41	e43r	2	39	41	real
40	n75^0	n79^2	e93	2	0	2	real
41	n75^1	n79^3	e93	2	1	3	real
42	n75^2	n79^4	e93	2	2	4	real
43	n75^3	n79^5	e93	2	3	5	real
44	n75^4	n79^6	e93	2	4	6	real
45	n75^5	n79^7	e93	2	5	7	real
46	n75^6	n79^8	e93	2	6	8	real
47	n75^7	n79^9	e93	2	7	9	real
48	n75^8	n79^10	e93	2	8	10	real
49	n75^9	n79^11	e93	2	9	11	real
50	n75^10	n79^12	e93	2	10	12	real
51	n75^11	n79^13	e93	2	11	13	real
52	n75^12	n79^14	e93	2	12	14	real
53	n75^13	n79^15	e93	2	13	15	real
54	n75^14	n79^16	e93	2	14	16	real
55	n75^15	n79^17	e93	2	15	17	real
56	n75^16	n79^18	e93	2	16	18	real
57	n75^17	n79^19	e93	2	17	19	real
58	n75^18	n79^20	e93	2	18	20	real
59	n75^19	n79^21	e93	2	19	21	real
60	n75^20	n79^22	e93	2	20	22	real
61	n75^21	n79^23	e93	2	21	23	real
62	n75^22	n79^24	e93	2	22	24	real
63	n75^23	n79^25	e93	2	23	25	real
64	n75^24	n79^26	e93	2	24	26	real
65	n75^25	n79^27	e93	2	25	27	real
66	n75^26	n79^28	e93	2	26	28	real
67	n75^27	n79^29	e93	2	27	29	real
68	n75^28	n79^30	e93	2	28	30	real
69	n75^29	n79^31	e93	2	29	31	real
70	n75^30	n79^32	e93	2	30	32	real
71	n75^31	n79^33	e93	2	31	33	real
72	n75^32	n79^34	e93	2	32	34	real
73	n75^33	n79^35	e93	2	33	35	real
74	n75^34	n79^36	e93	2	34	36	real
75	n75^35	n79^37	e93	2	35	37	real
76	n75^36	n79^38	e93	2	36	38	real
77	n75^37	n79^39	e93	2	37	39	real
78	n75^38	n79^40	e93	2	38	40	real
79	n75^39	n79^41	e93	2	39	41	real
80	n75^40	n79^42	e93	2	40	42	real
81	n75^41	n79^43	e93	2	41	43	real
82	n75^42	n79^44	e93	2	42	44	real
83	n75^43	n79^45	e93	2	43	45	real
84	n75^44	n79^46	e93	2	44	46	real
85	n75^45	n79^47	e93	2	45	47	real
86	n75^46	n79^48	e93	2	46	48	real
87	n1^0	n2^1	e1	1	0	1	real
88	n1^1	n2^2	e1	1	1	2	real
89	n1^2	n2^3	e1	1	2	3	real
90	n1^3	n2^4	e1	1	3	4	real
91	n1^4	n2^5	e1	1	4	5	real
92	n1^5	n2^6	e1	1	5	6	real
93	n1^6	n2^7	e1	1	6	7	real
94	n1^7	n2^8	e1	1	7	8	real
95	n1^8	n2^9	e1	1	8	9	real
96	n1^9	n2^10	e1	1	9	10	real
97	n1^10	n2^11	e1	1	10	11	real
98	n1^11	n2^12	e1	1	11	12	real
99	n1^12	n2^13	e1	1	12	13	real
100	n1^13	n2^14	e1	1	13	14	real
101	n1^14	n2^15	e1	1	14	15	real
102	n1^15	n2^16	e1	1	15	16	real
103	n1^16	n2^17	e1	1	16	17	real
104	n1^17	n2^18	e1	1	17	18	real
105	n1^18	n2^19	e1	1	18	19	real
106	n1^19	n2^20	e1	1	19	20	real
107	n1^20	n2^21	e1	1	20	21	real
108	n1^21	n2^22	e1	1	21	22	real
109	n1^22	n2^23	e1	1	22	23	real
110	n1^23	n2^24	e1	1	23	24	real
111	n1^24	n2^25	e1	1	24	25	real
112	n1^25	n2^26	e1	1	25	26	real
113	n1^26	n2^27	e1	1	26	27	real
114	n1^27	n2^28	e1	1	27	28	real
115	n1^28	n2^29	e1	1	28	29	real
116	n1^29	n2^30	e1	1	29	30	real
117	n1^30	n2^31	e1	1	30	31	real
118	n1^31	n2^32	e1	1	31	32	real
119	n1^32	n2^33	e1	1	32	33	real
120	n1^33	n2^34	e1	1	33	34	real
121	n1^34	n2^35	e1	1	34	35	real
122	n2^0	n13^2	e9r	2	0	2	real
123	n2^1	n13^3	e9r	2	1	3	real
124	n2^2	n13^4	e9r	2	2	4	real
125	n2^3	n13^5	e9r	2	3	5	real
126	n2^4	n13^6	e9r	2	4	6	real
127	n2^5	n13^7	e9r	2	5	7	real
128	n2^6	n13^8	e9r	2	6	8	real
129	n2^7	n13^9	e9r	2	7	9	real
130	n2^8	n13^10	e9r	2	8	10	real
131	n2^9	n13^11	e9r	2	9	11	real
132	n2^10	n13^12	e9r	2	10	12	real
133	n2^11	n13^13	e9r	2	11	13	real
134	n2^12	n13^14	e9r	2	12	14	real
135	n2^13	n13^15	e9r	2	13	15	real
136	n2^14	n13^16	e9r	2	14	16	real
137	n2^15	n13^17	e9r	2	15	17	real
138	n2^16	n13^18	e9r	2	16	18	real
139	n2^17	n13^19	e9r	2	17	19	real
140	n2^18	n13^20	e9r	2	18	20	real
141	n2^19	n13^21	e9r	2	19	21	real
142	n2^20	n13^22	e9r	2	20	22	real
143	n2^21	n13^23	e9r	2	21	23	real
144	n2^22	n13^24	e9r	2	22	24	real
145	n2^23	n13^25	e9r	2	23	25	real
146	n2^24	n13^26	e9r	2	24	26	real
147	n2^25	n13^27	e9r	2	25	27	real
148	n2^26	n13^28	e9r	2	26	28	real
149	n2^27	n13^29	e9r	2	27	29	real
150	n2^28	n13^30	e9r	2	28	30	real
151	n2^29	n13^31	e9r	2	29	31	real
152	n2^30	n13^32	e9r	2	30	32	real
153	n2^31	n13^33	e9r	2	31	33	real
154	n2^32	n13^34	e9r	2	32	34	real
155	n2^33	n13^35	e9r	2	33	35	real
156	n2^34	n13^36	e9r	2	34	36	real
157	n2^35	n13^37	e9r	2	35	37	real
158	n72^0	n75^1	e89	1	0	1	real
159	n72^1	n75^2	e89	1	1	2	real
160	n72^2	n75^3	e89	1	2	3	real
161	n72^3	n75^4	e89	1	3	4	real
162	n72^4	n75^5	e89	1	4	5	real
