k	fr	to	eid	tau	t0	t1	kind
0	n60^0	n63^1	e75	1	0	1	real
1	n60^1	n63^2	e75	1	1	2	real
2	n60^2	n63^3	e75	1	2	3	real
3	n60^3	n63^4	e75	1	3	4	real
4	n60^4	n63^5	e75	1	4	5	real
5	n60^5	n63^6	e75	1	5	6	real
6	n60^6	n63^7	e75	1	6	7	real
7	n60^7	n63^8	e75	1	7	8	real
8	n60^8	n63^9	e75	1	8	9	real
9	n60^9	n63^10	e75	1	9	10	real
10	n60^10	n63^11	e75	1	10	11	real
11	n60^11	n63^12	e75	1	11	12	real
12	n60^12	n63^13	e75	1	12	13	real
13	n60^13	n63^14	e75	1	13	14	real
14	n60^14	n63^15	e75	1	14	15	real
15	n60^15	n63^16	e75	1	15	16	real
16	n60^16	n63^17	e75	1	16	17	real
17	n60^17	n63^18	e75	1	17	18	real
18	n60^18	n63^19	e75	1	18	19	real
19	n60^19	n63^20	e75	1	19	20	real
20	n60^20	n63^21	e75	1	20	21	real
21	n60^21	n63^22	e75	1	21	22	real
22	n60^22	n63^23	e75	1	22	23	real
23	n60^23	n63^24	e75	1	23	24	real
24	n60^24	n63^25	e75	1	24	25	real
25	n60^25	n63^26	e75	1	25	26	real
26	n60^26	n63^27	e75	1	26	27	real
27	n60^27	n63^28	e75	1	27	28	real
28	n60^28	n63^29	e75	1	28	29	real
29	n60^29	n63^30	e75	1	29	30	real
30	n60^30	n63^31	e75	1	30	31	real
31	n60^31	n63^32	e75	1	31	32	real
32	n60^32	n63^33	e75	1	32	33	real
33	n60^33	n63^34	e75	1	33	34	real
34	n60^34	n63^35	e75	1	34	35	real
35	n60^35	n63^36	e75	1	35	36	real
36	n60^36	n63^37	e75	1	36	37	real
37	n60^37	n63^38	e75	1	37	38	real
38	n60^38	n63^39	e75	1	38	39	real
39	n60^39	n63^40	e75	1	39	40	real
40	n60^40	n63^41	e75	1	40	41	real
41	n60^41	n63^42	e75	1	41	42	real
42	n4^0	n1^1	e2	1	0	1	real
43	n4^1	n1^2	e2	1	1	2	real
