k	fr	to	eid	tau	t0	t1	kind
0	n38^0	n36^1	e45r	1	0	1	real
1	n38^1	n36^2	e45r	1	1	2	real
2	n38^2	n36^3	e45r	1	2	3	real
3	n38^3	n36^4	e45r	1	3	4	real
4	n38^4	n36^5	e45r	1	4	5	real
5	n38^5	n36^6	e45r	1	5	6	real
6	n38^6	n36^7	e45r	1	6	7	real
7	n38^7	n36^8	e45r	1	7	8	real
8	n38^8	n36^9	e45r	1	8	9	real
9	n38^9	n36^10	e45r	1	9	10	real
10	n38^10	n36^11	e45r	1	10	11	real
11	n38^11	n36^12	e45r	1	11	12	real
12	n38^12	n36^13	e45r	1	12	13	real
13	n38^13	n36^14	e45r	1	13	14	real
14	n38^14	n36^15	e45r	1	14	15	real
15	n38^15	n36^16	e45r	1	15	16	real
16	n38^16	n36^17	e45r	1	16	17	real
17	n38^17	n36^18	e45r	1	17	18	real
18	n38^18	n36^19	e45r	1	18	19	real
19	n38^19	n36^20	e45r	1	19	20	real
20	n38^20	n36^21	e45r	1	20	21	real
21	n38^21	n36^22	e45r	1	21	22	real
22	n38^22	n36^23	e45r	1	22	23	real
23	n38^23	n36^24	e45r	1	23	24	real
24	n38^24	n36^25	e45r	1	24	25	real
25	n38^25	n36^26	e45r	1	25	26	real
26	n38^26	n36^27	e45r	1	26	27	real
27	n38^27	n36^28	e45r	1	27	28	real
28	n38^28	n36^29	e45r	1	28	29	real
29	n38^29	n36^30	e45r	1	29	30	real
30	n38^30	n36^31	e45r	1	30	31	real
31	n38^31	n36^32	e45r	1	31	32	real
32	n38^32	n36^33	e45r	1	32	33	real
33	n38^33	n36^34	e45r	1	33	34	real
34	n38^34	n36^35	e45r	1	34	35	real
35	n38^35	n36^36	e45r	1	35	36	real
36	n38^36	n36^37	e45r	1	36	37	real
37	n38^37	n36^38	e45r	1	37	38	real
38	n38^38	n36^39	e45r	1	38	39	real
39	n38^39	n36^40	e45r	1	39	40	real
40	n38^40	n36^41	e45r	1	40	41	real
41	n38^41	n36^42	e45r	1	41	42	real
42	n38^42	n36^43	e45r	1	42	43	real
43	n38^43	n36^44	e45r	1	43	44	real
44	n38^44	n36^45	e45r	1	44	45	real
45	n38^45	n36^46	e45r	1	45	46	real
46	n41^0	n38^1	e49r	1	0	1	real
47	n41^1	n38^2	e49r	1	1	2	real
48	n41^2	n38^3	e49r	1	2	3	real
49	n41^3	n38^4	e49r	1	3	4	real
50	n41^4	n38^5	e49r	1	4	5	real
51	n41^5	n38^6	e49r	1	5	6	real
52	n41^6	n38^7	e49r	1	6	7	real
53	n41^7	n38^8	e49r	1	7	8	real
54	n41^8	n38^9	e49r	1	8	9	real
55	n41^9	n38^10	e49r	1	9	10	real
56	n41^10	n38^11	e49r	1	10	11	real
57	n41^11	n38^12	e49r	1	11	12	real
58	n41^12	n38^13	e49r	1	12	13	real
59	n41^13	n38^14	e49r	1	13	14	real
60	n41^14	n38^15	e49r	1	14	15	real
61	n41^15	n38^16	e49r	1	15	16	real
62	n41^16	n38^17	e49r	1	16	17	real
63	n41^17	n38^18	e49r	1	17	18	real
64	n41^18	n38^19	e49r	1	18	19	real
65	n41^19	n38^20	e49r	1	19	20	real
66	n41^20	n38^21	e49r	1	20	21	real
67	n41^21	n38^22	e49r	1	21	22	real
68	n41^22	n38^23	e49r	1	22	23	real
69	n41^23	n38^24	e49r	1	23	24	real
70	n41^24	n38^25	e49r	1	24	25	real
71	n41^25	n38^26	e49r	1	25	26	real
72	n41^26	n38^27	e49r	1	26	27	real
73	n41^27	n38^28	e49r	1	27	28	real
74	n41^28	n38^29	e49r	1	28	29	real
75	n41^29	n38^30	e49r	1	29	30	real
76	n41^30	n38^31	e49r	1	30	31	real
77	n41^31	n38^32	e49r	1	31	32	real
78	n41^32	n38^33	e49r	1	32	33	real
79	n41^33	n38^34	e49r	1	33	34	real
80	n41^34	n38^35	e49r	1	34	35	real
81	n41^35	n38^36	e49r	1	35	36	real
82	n41^36	n38^37	e49r	1	36	37	real
83	n41^37	n38^38	e49r	1	37	38	real
84	n41^38	n38^39	e49r	1	38	39	real
85	n41^39	n38^40	e49r	1	39	40	real
86	n41^40	n38^41	e49r	1	40	41	real
87	n41^41	n38^42	e49r	1	41	42	real
88	n41^42	n38^43	e49r	1	42	43	real
89	n41^43	n38^44	e49r	1	43	44	real
90	n41^44	n38^45	e49r	1	44	45	real
91	n36^0	n40^1	e47r	1	0	1	real
92	n36^1	n40^2	e47r	1	1	2	real
93	n36^2	n40^3	e47r	1	2	3	real
94	n36^3	n40^4	e47r	1	3	4	real
95	n36^4	n40^5	e47r	1	4	5	real
96	n36^5	n40^6	e47r	1	5	6	real
97	n36^6	n40^7	e47r	1	6	7	real
98	n36^7	n40^8	e47r	1	7	8	real
99	n36^8	n40^9	e47r	1	8	9	real
100	n36^9	n40^10	e47r	1	9	10	real
101	n36^10	n40^11	e47r	1	10	11	real
102	n36^11	n40^12	e47r	1	11	12	real
103	n36^12	n40^13	e47r	1	12	13	real
104	n36^13	n40^14	e47r	1	13	14	real
105	n36^14	n40^15	e47r	1	14	15	real
106	n36^15	n40^16	e47r	1	15	16	real
107	n36^16	n40^17	e47r	1	16	17	real
108	n36^17	n40^18	e47r	1	17	18	real
109	n36^18	n40^19	e47r	1	18	19	real
110	n36^19	n40^20	e47r	1	19	20	real
111	n36^20	n40^21	e47r	1	20	21	real
112	n36^21	n40^22	e47r	1	21	22	real
113	n36^22	n40^23	e47r	1	22	23	real
114	n36^23	n40^24	e47r	1	23	24	real
115	n36^24	n40^25	e47r	1	24	25	real
116	n36^25	n40^26	e47r	1	25	26	real
117	n36^26	n40^27	e47r	1	26	27	real
118	n36^27	n40^28	e47r	1	27	28	real
119	n36^28	n40^29	e47r	1	28	29	real
120	n36^29	n40^30	e47r	1	29	30	real
121	n36^30	n40^31	e47r	1	30	31	real
122	n36^31	n40^32	e47r	1	31	32	real
123	n36^32	n40^33	e47r	1	32	33	real
124	n36^33	n40^34	e47r	1	33	34	real
125	n36^34	n40^35	e47r	1	34	35	real
126	n36^35	n40^36	e47r	1	35	36	real
127	n36^36	n40^37	e47r	1	36	37	real
128	n36^37	n40^38	e47r	1	37	38	real
129	n36^38	n40^39	e47r	1	38	39	real
130	n36^39	n40^40	e47r	1	39	40	real
131	n36^40	n40^41	e47r	1	40	41	real
132	n36^41	n40^42	e47r	1	41	42	real
133	n36^42	n40^43	e47r	1	42	43	real
134	n36^43	n40^44	e47r	1	43	44	real
135	n36^44	n40^45	e47r	1	44	45	real
136	n36^45	n40^46	e47r	1	45	46	real
137	n36^46	n40^47	e47r	1	46	47	real
138	n40^0	n43^1	e53r	1	0	1	real
139	n40^1	n43^2	e53r	1	1	2	real
140	n40^2	n43^3	e53r	1	2	3	real
141	n40^3	n43^4	e53r	1	3	4	real
142	n40^4	n43^5	e53r	1	4	5	real
143	n40^5	n43^6	e53r	1	5	6	real
144	n40^6	n43^7	e53r	1	6	7	real
