k	fr	to	eid	tau	t0	t1	kind
0	n66^0	n62^2	e78	2	0	2	real
1	n66^1	n62^3	e78	2	1	3	real
2	n66^2	n62^4	e78	2	2	4	real
3	n66^3	n62^5	e78	2	3	5	real
4	n66^4	n62^6	e78	2	4	6	real
5	n66^5	n62^7	e78	2	5	7	real
6	n66^6	n62^8	e78	2	6	8	real
7	n66^7	n62^9	e78	2	7	9	real
8	n66^8	n62^10	e78	2	8	10	real
9	n66^9	n62^11	e78	2	9	11	real
10	n66^10	n62^12	e78	2	10	12	real
11	n66^11	n62^13	e78	2	11	13	real
12	n66^12	n62^14	e78	2	12	14	real
13	n66^13	n62^15	e78	2	13	15	real
14	n66^14	n62^16	e78	2	14	16	real
15	n66^15	n62^17	e78	2	15	17	real
16	n66^16	n62^18	e78	2	16	18	real
17	n66^17	n62^19	e78	2	17	19	real
18	n66^18	n62^20	e78	2	18	20	real
19	n66^19	n62^21	e78	2	19	21	real
20	n66^20	n62^22	e78	2	20	22	real
21	n66^21	n62^23	e78	2	21	23	real
22	n66^22	n62^24	e78	2	22	24	real
23	n66^23	n62^25	e78	2	23	25	real
24	n66^24	n62^26	e78	2	24	26	real
25	n66^25	n62^27	e78	2	25	27	real
26	n66^26	n62^28	e78	2	26	28	real
27	n66^27	n62^29	e78	2	27	29	real
28	n66^28	n62^30	e78	2	28	30	real
29	n66^29	n62^31	e78	2	29	31	real
30	n66^30	n62^32	e78	2	30	32	real
31	n66^31	n62^33	e78	2	31	33	real
32	n66^32	n62^34	e78	2	32	34	real
33	n66^33	n62^35	e78	2	33	35	real
34	n66^34	n62^36	e78	2	34	36	real
35	n66^35	n62^37	e78	2	35	37	real
36	n66^36	n62^38	e78	2	36	38	real
37	n66^37	n62^39	e78	2	37	39	real
38	n66^38	n62^40	e78	2	38	40	real
39	n66^39	n62^41	e78	2	39	41	real
40	n66^40	n62^42	e78	2	40	42	real
41	n66^41	n62^43	e78	2	41	43	real
42	n66^42	n62^44	e78	2	42	44	real
43	n64^0	n57^1	e74r	1	0	1	real
44	n64^1	n57^2	e74r	1	1	2	real
45	n64^2	n57^3	e74r	1	2	3	real
46	n64^3	n57^4	e74r	1	3	4	real
47	n64^4	n57^5	e74r	1	4	5	real
48	n64^5	n57^6	e74r	1	5	6	real
49	n64^6	n57^7	e74r	1	6	7	real
50	n64^7	n57^8	e74r	1	7	8	real
51	n64^8	n57^9	e74r	1	8	9	real
52	n64^9	n57^10	e74r	1	9	10	real
53	n64^10	n57^11	e74r	1	10	11	real
54	n64^11	n57^12	e74r	1	11	12	real
55	n64^12	n57^13	e74r	1	12	13	real
56	n64^13	n57^14	e74r	1	13	14	real
57	n64^14	n57^15	e74r	1	14	15	real
58	n64^15	n57^16	e74r	1	15	16	real
59	n64^16	n57^17	e74r	1	16	17	real
60	n64^17	n57^18	e74r	1	17	18	real
61	n64^18	n57^19	e74r	1	18	19	real
62	n64^19	n57^20	e74r	1	19	20	real
63	n64^20	n57^21	e74r	1	20	21	real
64	n64^21	n57^22	e74r	1	21	22	real
65	n64^22	n57^23	e74r	1	22	23	real
66	n64^23	n57^24	e74r	1	23	24	real
67	n64^24	n57^25	e74r	1	24	25	real
68	n64^25	n57^26	e74r	1	25	26	real
69	n64^26	n57^27	e74r	1	26	27	real
70	n64^27	n57^28	e74r	1	27	28	real
71	n64^28	n57^29	e74r	1	28	29	real
72	n64^29	n57^30	e74r	1	29	30	real
73	n64^30	n57^31	e74r	1	30	31	real
74	n64^31	n57^32	e74r	1	31	32	real
75	n64^32	n57^33	e74r	1	32	33	real
76	n64^33	n57^34	e74r	1	33	34	real
77	n64^34	n57^35	e74r	1	34	35	real
78	n64^35	n57^36	e74r	1	35	36	real
79	n64^36	n57^37	e74r	1	36	37	real
80	n64^37	n57^38	e74r	1	37	38	real
81	n64^38	n57^39	e74r	1	38	39	real
82	n64^39	n57^40	e74r	1	39	40	real
83	n64^40	n57^41	e74r	1	40	41	real
84	n64^41	n57^42	e74r	1	41	42	real
85	n64^42	n57^43	e74r	1	42	43	real
86	n64^43	n57^44	e74r	1	43	44	real
87	n64^44	n57^45	e74r	1	44	45	real
88	n64^45	n57^46	e74r	1	45	46	real
89	n64^46	n57^47	e74r	1	46	47	real
90	n71^0	n66^2	e83	2	0	2	real
91	n71^1	n66^3	e83	2	1	3	real
92	n71^2	n66^4	e83	2	2	4	real
93	n71^3	n66^5	e83	2	3	5	real
94	n71^4	n66^6	e83	2	4	6	real
95	n71^5	n66^7	e83	2	5	7	real
96	n71^6	n66^8	e83	2	6	8	real
97	n71^7	n66^9	e83	2	7	9	real
98	n71^8	n66^10	e83	2	8	10	real
99	n71^9	n66^11	e83	2	9	11	real
100	n71^10	n66^12	e83	2	10	12	real
101	n71^11	n66^13	e83	2	11	13	real
102	n71^12	n66^14	e83	2	12	14	real
103	n71^13	n66^15	e83	2	13	15	real
104	n71^14	n66^16	e83	2	14	16	real
105	n71^15	n66^17	e83	2	15	17	real
106	n71^16	n66^18	e83	2	16	18	real
107	n71^17	n66^19	e83	2	17	19	real
108	n71^18	n66^20	e83	2	18	20	real
109	n71^19	n66^21	e83	2	19	21	real
110	n71^20	n66^22	e83	2	20	22	real
111	n71^21	n66^23	e83	2	21	23	real
112	n71^22	n66^24	e83	2	22	24	real
113	n71^23	n66^25	e83	2	23	25	real
114	n71^24	n66^26	e83	2	24	26	real
115	n71^25	n66^27	e83	2	25	27	real
