k	fr	to	eid	tau	t0	t1	kind
0	n72^0	n74^1	e88r	1	0	1	real
1	n72^1	n74^2	e88r	1	1	2	real
2	n72^2	n74^3	e88r	1	2	3	real
3	n72^3	n74^4	e88r	1	3	4	real
4	n72^4	n74^5	e88r	1	4	5	real
5	n72^5	n74^6	e88r	1	5	6	real
6	n72^6	n74^7	e88r	1	6	7	real
7	n72^7	n74^8	e88r	1	7	8	real
8	n72^8	n74^9	e88r	1	8	9	real
9	n72^9	n74^10	e88r	1	9	10	real
10	n72^10	n74^11	e88r	1	10	11	real
11	n72^11	n74^12	e88r	1	11	12	real
12	n72^12	n74^13	e88r	1	12	13	real
13	n72^13	n74^14	e88r	1	13	14	real
14	n72^14	n74^15	e88r	1	14	15	real
15	n72^15	n74^16	e88r	1	15	16	real
16	n72^16	n74^17	e88r	1	16	17	real
17	n72^17	n74^18	e88r	1	17	18	real
18	n72^18	n74^19	e88r	1	18	19	real
19	n72^19	n74^20	e88r	1	19	20	real
20	n72^20	n74^21	e88r	1	20	21	real
21	n72^21	n74^22	e88r	1	21	22	real
22	n72^22	n74^23	e88r	1	22	23	real
23	n72^23	n74^24	e88r	1	23	24	real
24	n72^24	n74^25	e88r	1	24	25	real
25	n72^25	n74^26	e88r	1	25	26	real
26	n72^26	n74^27	e88r	1	26	27	real
27	n72^27	n74^28	e88r	1	27	28	real
28	n72^28	n74^29	e88r	1	28	29	real
29	n72^29	n74^30	e88r	1	29	30	real
30	n72^30	n74^31	e88r	1	30	31	real
31	n72^31	n74^32	e88r	1	31	32	real
32	n72^32	n74^33	e88r	1	32	33	real
33	n72^33	n74^34	e88r	1	33	34	real
34	n72^34	n74^35	e88r	1	34	35	real
35	n72^35	n74^36	e88r	1	35	36	real
36	n72^36	n74^37	e88r	1	36	37	real
37	n72^37	n74^38	e88r	1	37	38	real
38	n72^38	n74^39	e88r	1	38	39	real
39	n72^39	n74^40	e88r	1	39	40	real
40	n72^40	n74^41	e88r	1	40	41	real
41	n72^41	n74^42	e88r	1	41	42	real
42	n72^42	n74^43	e88r	1	42	43	real
43	n74^0	n69^2	e85r	2	0	2	real
44	n74^1	n69^3	e85r	2	1	3	real
45	n74^2	n69^4	e85r	2	2	4	real
46	n74^3	n69^5	e85r	2	3	5	real
47	n74^4	n69^6	e85r	2	4	6	real
48	n74^5	n69^7	e85r	2	5	7	real
49	n74^6	n69^8	e85r	2	6	8	real
50	n74^7	n69^9	e85r	2	7	9	real
51	n74^8	n69^10	e85r	2	8	10	real
52	n74^9	n69^11	e85r	2	9	11	real
53	n74^10	n69^12	e85r	2	10	12	real
54	n74^11	n69^13	e85r	2	11	13	real
55	n74^12	n69^14	e85r	2	12	14	real
56	n74^13	n69^15	e85r	2	13	15	real
57	n74^14	n69^16	e85r	2	14	16	real
58	n74^15	n69^17	e85r	2	15	17	real
59	n74^16	n69^18	e85r	2	16	18	real
60	n74^17	n69^19	e85r	2	17	19	real
61	n74^18	n69^20	e85r	2	18	20	real
62	n74^19	n69^21	e85r	2	19	21	real
63	n74^20	n69^22	e85r	2	20	22	real
64	n74^21	n69^23	e85r	2	21	23	real
65	n74^22	n69^24	e85r	2	22	24	real
66	n74^23	n69^25	e85r	2	23	25	real
67	n74^24	n69^26	e85r	2	24	26	real
68	n74^25	n69^27	e85r	2	25	27	real
69	n74^26	n69^28	e85r	2	26	28	real
70	n74^27	n69^29	e85r	2	27	29	real
71	n74^28	n69^30	e85r	2	28	30	real
72	n74^29	n69^31	e85r	2	29	31	real
73	n74^30	n69^32	e85r	2	30	32	real
74	n74^31	n69^33	e85r	2	31	33	real
75	n74^32	n69^34	e85r	2	32	34	real
76	n74^33	n69^35	e85r	2	33	35	real
77	n74^34	n69^36	e85r	2	34	36	real
78	n74^35	n69^37	e85r	2	35	37	real
79	n74^36	n69^38	e85r	2	36	38	real
80	n74^37	n69^39	e85r	2	37	39	real
81	n74^38	n69^40	e85r	2	38	40	real
82	n74^39	n69^41	e85r	2	39	41	real
83	n74^40	n69^42	e85r	2	40	42	real
84	n74^41	n69^43	e85r	2	41	43	real
85	n74^42	n69^44	e85r	2	42	44	real
86	n74^43	n69^45	e85r	2	43	45	real
87	n69^0	n58^2	e77r	2	0	2	real
88	n69^1	n58^3	e77r	2	1	3	real
89	n69^2	n58^4	e77r	2	2	4	real
90	n69^3	n58^5	e77r	2	3	5	real
91	n69^4	n58^6	e77r	2	4	6	real
92	n69^5	n58^7	e77r	2	5	7	real
93	n69^6	n58^8	e77r	2	6	8	real
94	n69^7	n58^9	e77r	2	7	9	real
95	n69^8	n58^10	e77r	2	8	10	real
96	n69^9	n58^11	e77r	2	9	11	real
97	n69^10	n58^12	e77r	2	10	12	real
98	n69^11	n58^13	e77r	2	11	13	real
99	n69^12	n58^14	e77r	2	12	14	real
100	n69^13	n58^15	e77r	2	13	15	real
101	n69^14	n58^16	e77r	2	14	16	real
102	n69^15	n58^17	e77r	2	15	17	real
103	n69^16	n58^18	e77r	2	16	18	real
104	n69^17	n58^19	e77r	2	17	19	real
105	n69^18	n58^20	e77r	2	18	20	real
106	n69^19	n58^21	e77r	2	19	21	real
107	n69^20	n58^22	e77r	2	20	22	real
108	n69^21	n58^23	e77r	2	21	23	real
109	n69^22	n58^24	e77r	2	22	24	real
110	n69^23	n58^25	e77r	2	23	25	real
111	n69^24	n58^26	e77r	2	24	26	real
112	n69^25	n58^27	e77r	2	25	27	real
113	n69^26	n58^28	e77r	2	26	28	real
114	n69^27	n58^29	e77r	2	27	29	real
115	n69^28	n58^30	e77r	2	28	30	real
116	n69^29	n58^31	e77r	2	29	31	real
117	n69^30	n58^32	e77r	2	30	32	real
118	n69^31	n58^33	e77r	2	31	33	real
119	n69^32	n58^34	e77r	2	32	34	real
120	n69^33	n58^35	e77r	2	33	35	real
121	n69^34	n58^36	e77r	2	34	36	real
122	n69^35	n58^37	e77r	2	35	37	real
123	n69^36	n58^38	e77r	2	36	38	real
124	n69^37	n58^39	e77r	2	37	39	real
125	n69^38	n58^40	e77r	2	38	40	real
126	n69^39	n58^41	e77r	2	39	41	real
127	n69^40	n58^42	e77r	2	40	42	real
128	n69^41	n58^43	e77r	2	41	43	real
129	n69^42	n58^44	e77r	2	42	44	real
130	n69^43	n58^45	e77r	2	43	45	real
131	n69^44	n58^46	e77r	2	44	46	real
132	n69^45	n58^47	e77r	2	45	47	real
133	n58^0	n55^1	e69r	1	0	1	real
134	n58^1	n55^2	e69r	1	1	2	real
135	n58^2	n55^3	e69r	1	2	3	real
136	n58^3	n55^4	e69r	1	3	4	real
137	n58^4	n55^5	e69r	1	4	5	real
138	n58^5	n55^6	e69r	1	5	6	real
139	n58^6	n55^7	e69r	1	6	7	real
140	n58^7	n55^8	e69r	1	7	8	real
141	n58^8	n55^9	e69r	1	8	9	real
142	n58^9	n55^10	e69r	1	9	10	real
143	n58^10	n55^11	e69r	1	10	11	real
144	n58^11	n55^12	e69r	1	11	12	real
145	n58^12	n55^13	e69r	1	12	13	real
146	n58^13	n55^14	e69r	1	13	14	real
147	n58^14	n55^15	e69r	1	14	15	real
148	n58^15	n55^16	e69r	1	15	16	real
149	n58^16	n55^17	e69r	1	16	17	real
150	n58^17	n55^18	e69r	1	17	18	real
151	n58^18	n55^19	e69r	1	18	19	real
152	n58^19	n55^20	e69r	1	19	20	real
153	n58^20	n55^21	e69r	1	20	21	real
154	n58^21	n55^22	e69r	1	21	22	real
155	n58^22	n55^23	e69r	1	22	23	real
156	n58^23	n55^24	e69r	1	23	24	real
157	n58^24	n55^25	e69r	1	24	25	real
158	n58^25	n55^26	e69r	1	25	26	real
159	n58^26	n55^27	e69r	1	26	27	real
160	n58^27	n55^28	e69r	1	27	28	real
161	n58^28	n55^29	e69r	1	28	29	real
162	n58^29	n55^30	e69r	1	29	30	real
163	n58^30	n55^31	e69r	1	30	31	real
164	n58^31	n55^32	e69r	1	31	32	real
165	n58^32	n55^33	e69r	1	32	33	real
166	n58^33	n55^34	e69r	1	33	34	real
167	n58^34	n55^35	e69r	1	34	35	real
168	n58^35	n55^36	e69r	1	35	36	real
169	n58^36	n55^37	e69r	1	36	37	real
170	n58^37	n55^38	e69r	1	37	38	real
171	n58^38	n55^39	e69r	1	38	39	real
172	n58^39	n55^40	e69r	1	39	40	real
173	n58^40	n55^41	e69r	1	40	41	real
174	n58^41	n55^42	e69r	1	41	42	real
175	n58^42	n55^43	e69r	1	42	43	real
176	n58^43	n55^44	e69r	1	43	44	real
177	n58^44	n55^45	e69r	1	44	45	real
178	n58^45	n55^46	e69r	1	45	46	real
179	n58^46	n55^47	e69r	1	46	47	real
180	n58^47	n55^48	e69r	1	47	48	real
181	n72^0	n72^1	w_n72	1	0	1	wait
182	n72^1	n72^2	w_n72	1	1	2	wait
183	n72^2	n72^3	w_n72	1	2	3	wait
184	n72^3	n72^4	w_n72	1	3	4	wait
185	n72^4	n72^5	w_n72	1	4	5	wait
186	n72^5	n72^6	w_n72	1	5	6	wait
187	n72^6	n72^7	w_n72	1	6	7	wait
188	n72^7	n72^8	w_n72	1	7	8	wait
189	n72^8	n72^9	w_n72	1	8	9	wait
190	n72^9	n72^10	w_n72	1	9	10	wait
191	n72^10	n72^11	w_n72	1	10	11	wait
192	n72^11	n72^12	w_n72	1	11	12	wait
193	n72^12	n72^13	w_n72	1	12	13	wait
194	n72^13	n72^14	w_n72	1	13	14	wait
195	n72^14	n72^15	w_n72	1	14	15	wait
196	n72^15	n72^16	w_n72	1	15	16	wait
197	n72^16	n72^17	w_n72	1	16	17	wait
198	n72^17	n72^18	w_n72	1	17	18	wait
199	n72^18	n72^19	w_n72	1	18	19	wait
200	n72^19	n72^20	w_n72	1	19	20	wait
201	n72^20	n72^21	w_n72	1	20	21	wait
202	n72^21	n72^22	w_n72	1	21	22	wait
203	n72^22	n72^23	w_n72	1	22	23	wait
204	n72^23	n72^24	w_n72	1	23	24	wait
205	n72^24	n72^25	w_n72	1	24	25	wait
206	n72^25	n72^26	w_n72	1	25	26	wait
207	n72^26	n72^27	w_n72	1	26	27	wait
208	n72^27	n72^28	w_n72	1	27	28	wait
209	n72^28	n72^29	w_n72	1	28	29	wait
210	n72^29	n72^30	w_n72	1	29	30	wait
211	n72^30	n72^31	w_n72	1	30	31	wait
212	n72^31	n72^32	w_n72	1	31	32	wait
213	n72^32	n72^33	w_n72	1	32	33	wait
214	n72^33	n72^34	w_n72	1	33	34	wait
215	n72^34	n72^35	w_n72	1	34	35	wait
216	n72^35	n72^36	w_n72	1	35	36	wait
217	n72^36	n72^37	w_n72	1	36	37	wait
218	n72^37	n72^38	w_n72	1	37	38	wait
219	n72^38	n72^39	w_n72	1	38	39	wait
220	n72^39	n72^40	w_n72	1	39	40	wait
221	n72^40	n72^41	w_n72	1	40	41	wait
222	n72^41	n72^42	w_n72	1	41	42	wait
223	n72^42	n72^43	w_n72	1	42	43	wait
224	n72^43	n72^44	w_n72	1	43	44	wait
225	n72^44	n72^45	w_n72	1	44	45	wait
226	n72^45	n72^46	w_n72	1	45	46	wait
227	n72^46	n72^47	w_n72	1	46	47	wait
228	n72^47	n72^48	w_n72	1	47	48	wait
229	n74^0	n74^1	w_n74	1	0	1	wait
