k	fr	to	eid	tau	t0	t1	kind
0	n54^0	n55^2	e68r	2	0	2	real
1	n54^1	n55^3	e68r	2	1	3	real
2	n54^2	n55^4	e68r	2	2	4	real
3	n54^3	n55^5	e68r	2	3	5	real
4	n54^4	n55^6	e68r	2	4	6	real
5	n54^5	n55^7	e68r	2	5	7	real
6	n54^6	n55^8	e68r	2	6	8	real
7	n54^7	n55^9	e68r	2	7	9	real
8	n54^8	n55^10	e68r	2	8	10	real
9	n54^9	n55^11	e68r	2	9	11	real
10	n54^10	n55^12	e68r	2	10	12	real
11	n54^11	n55^13	e68r	2	11	13	real
12	n54^12	n55^14	e68r	2	12	14	real
13	n54^13	n55^15	e68r	2	13	15	real
14	n54^14	n55^16	e68r	2	14	16	real
15	n54^15	n55^17	e68r	2	15	17	real
16	n54^16	n55^18	e68r	2	16	18	real
17	n54^17	n55^19	e68r	2	17	19	real
18	n54^18	n55^20	e68r	2	18	20	real
19	n54^19	n55^21	e68r	2	19	21	real
20	n54^20	n55^22	e68r	2	20	22	real
21	n54^21	n55^23	e68r	2	21	23	real
22	n54^22	n55^24	e68r	2	22	24	real
23	n54^23	n55^25	e68r	2	23	25	real
24	n54^24	n55^26	e68r	2	24	26	real
25	n54^25	n55^27	e68r	2	25	27	real
26	n54^26	n55^28	e68r	2	26	28	real
27	n54^27	n55^29	e68r	2	27	29	real
28	n54^28	n55^30	e68r	2	28	30	real
29	n54^29	n55^31	e68r	2	29	31	real
30	n54^30	n55^32	e68r	2	30	32	real
31	n54^31	n55^33	e68r	2	31	33	real
32	n54^32	n55^34	e68r	2	32	34	real
33	n54^33	n55^35	e68r	2	33	35	real
34	n54^34	n55^36	e68r	2	34	36	real
35	n54^35	n55^37	e68r	2	35	37	real
36	n54^36	n55^38	e68r	2	36	38	real
37	n54^37	n55^39	e68r	2	37	39	real
38	n54^38	n55^40	e68r	2	38	40	real
39	n54^39	n55^41	e68r	2	39	41	real
40	n54^40	n55^42	e68r	2	40	42	real
41	n54^41	n55^43	e68r	2	41	43	real
42	n54^42	n55^44	e68r	2	42	44	real
43	n54^43	n55^45	e68r	2	43	45	real
44	n54^44	n55^46	e68r	2	44	46	real
45	n54^45	n55^47	e68r	2	45	47	real
46	n43^0	n50^2	e58r	2	0	2	real
47	n43^1	n50^3	e58r	2	1	3	real
48	n43^2	n50^4	e58r	2	2	4	real
49	n43^3	n50^5	e58r	2	3	5	real
50	n43^4	n50^6	e58r	2	4	6	real
51	n43^5	n50^7	e58r	2	5	7	real
52	n43^6	n50^8	e58r	2	6	8	real
53	n43^7	n50^9	e58r	2	7	9	real
54	n43^8	n50^10	e58r	2	8	10	real
55	n43^9	n50^11	e58r	2	9	11	real
56	n43^10	n50^12	e58r	2	10	12	real
57	n43^11	n50^13	e58r	2	11	13	real
58	n43^12	n50^14	e58r	2	12	14	real
59	n43^13	n50^15	e58r	2	13	15	real
60	n43^14	n50^16	e58r	2	14	16	real
61	n43^15	n50^17	e58r	2	15	17	real
62	n43^16	n50^18	e58r	2	16	18	real
63	n43^17	n50^19	e58r	2	17	19	real
64	n43^18	n50^20	e58r	2	18	20	real
65	n43^19	n50^21	e58r	2	19	21	real
66	n43^20	n50^22	e58r	2	20	22	real
67	n43^21	n50^23	e58r	2	21	23	real
68	n43^22	n50^24	e58r	2	22	24	real
69	n43^23	n50^25	e58r	2	23	25	real
70	n43^24	n50^26	e58r	2	24	26	real
71	n43^25	n50^27	e58r	2	25	27	real
72	n43^26	n50^28	e58r	2	26	28	real
73	n43^27	n50^29	e58r	2	27	29	real
74	n43^28	n50^30	e58r	2	28	30	real
75	n43^29	n50^31	e58r	2	29	31	real
76	n43^30	n50^32	e58r	2	30	32	real
77	n43^31	n50^33	e58r	2	31	33	real
78	n43^32	n50^34	e58r	2	32	34	real
79	n43^33	n50^35	e58r	2	33	35	real
80	n43^34	n50^36	e58r	2	34	36	real
81	n43^35	n50^37	e58r	2	35	37	real
82	n43^36	n50^38	e58r	2	36	38	real
83	n43^37	n50^39	e58r	2	37	39	real
84	n43^38	n50^40	e58r	2	38	40	real
85	n43^39	n50^41	e58r	2	39	41	real
86	n43^40	n50^42	e58r	2	40	42	real
87	n43^41	n50^43	e58r	2	41	43	real
88	n55^0	n51^1	e67r	1	0	1	real
89	n55^1	n51^2	e67r	1	1	2	real
90	n55^2	n51^3	e67r	1	2	3	real
91	n55^3	n51^4	e67r	1	3	4	real
92	n55^4	n51^5	e67r	1	4	5	real
93	n55^5	n51^6	e67r	1	5	6	real
94	n55^6	n51^7	e67r	1	6	7	real
95	n55^7	n51^8	e67r	1	7	8	real
96	n55^8	n51^9	e67r	1	8	9	real
97	n55^9	n51^10	e67r	1	9	10	real
98	n55^10	n51^11	e67r	1	10	11	real
99	n55^11	n51^12	e67r	1	11	12	real
100	n55^12	n51^13	e67r	1	12	13	real
101	n55^13	n51^14	e67r	1	13	14	real
102	n55^14	n51^15	e67r	1	14	15	real
103	n55^15	n51^16	e67r	1	15	16	real
104	n55^16	n51^17	e67r	1	16	17	real
105	n55^17	n51^18	e67r	1	17	18	real
106	n55^18	n51^19	e67r	1	18	19	real
107	n55^19	n51^20	e67r	1	19	20	real
108	n55^20	n51^21	e67r	1	20	21	real
109	n55^21	n51^22	e67r	1	21	22	real
110	n55^22	n51^23	e67r	1	22	23	real
111	n55^23	n51^24	e67r	1	23	24	real
112	n55^24	n51^25	e67r	1	24	25	real
113	n55^25	n51^26	e67r	1	25	26	real
114	n55^26	n51^27	e67r	1	26	27	real
115	n55^27	n51^28	e67r	1	27	28	real
116	n55^28	n51^29	e67r	1	28	29	real
117	n55^29	n51^30	e67r	1	29	30	real
118	n55^30	n51^31	e67r	1	30	31	real
119	n55^31	n51^32	e67r	1	31	32	real
120	n55^32	n51^33	e67r	1	32	33	real
121	n55^33	n51^34	e67r	1	33	34	real
122	n55^34	n51^35	e67r	1	34	35	real
123	n55^35	n51^36	e67r	1	35	36	real
124	n55^36	n51^37	e67r	1	36	37	real
125	n55^37	n51^38	e67r	1	37	38	real
126	n55^38	n51^39	e67r	1	38	39	real
127	n55^39	n51^40	e67r	1	39	40	real
128	n55^40	n51^41	e67r	1	40	41	real
129	n55^41	n51^42	e67r	1	41	42	real
130	n55^42	n51^43	e67r	1	42	43	real
131	n55^43	n51^44	e67r	1	43	44	real
132	n55^44	n51^45	e67r	1	44	45	real
133	n55^45	n51^46	e67r	1	45	46	real
134	n55^46	n51^47	e67r	1	46	47	real
135	n55^47	n51^48	e67r	1	47	48	real
136	n50^0	n54^2	e64r	2	0	2	real
137	n50^1	n54^3	e64r	2	1	3	real
138	n50^2	n54^4	e64r	2	2	4	real
139	n50^3	n54^5	e64r	2	3	5	real
140	n50^4	n54^6	e64r	2	4	6	real
141	n50^5	n54^7	e64r	2	5	7	real
142	n50^6	n54^8	e64r	2	6	8	real
143	n50^7	n54^9	e64r	2	7	9	real
144	n50^8	n54^10	e64r	2	8	10	real
145	n50^9	n54^11	e64r	2	9	11	real
146	n50^10	n54^12	e64r	2	10	12	real
147	n50^11	n54^13	e64r	2	11	13	real
148	n50^12	n54^14	e64r	2	12	14	real
149	n50^13	n54^15	e64r	2	13	15	real
150	n50^14	n54^16	e64r	2	14	16	real
151	n50^15	n54^17	e64r	2	15	17	real
152	n50^16	n54^18	e64r	2	16	18	real
153	n50^17	n54^19	e64r	2	17	19	real
154	n50^18	n54^20	e64r	2	18	20	real
155	n50^19	n54^21	e64r	2	19	21	real
156	n50^20	n54^22	e64r	2	20	22	real
157	n50^21	n54^23	e64r	2	21	23	real
158	n50^22	n54^24	e64r	2	22	24	real
159	n50^23	n54^25	e64r	2	23	25	real
160	n50^24	n54^26	e64r	2	24	26	real
161	n50^25	n54^27	e64r	2	25	27	real
162	n50^26	n54^28	e64r	2	26	28	real
163	n50^27	n54^29	e64r	2	27	29	real
164	n50^28	n54^30	e64r	2	28	30	real
165	n50^29	n54^31	e64r	2	29	31	real
166	n50^30	n54^32	e64r	2	30	32	real
167	n50^31	n54^33	e64r	2	31	33	real
168	n50^32	n54^34	e64r	2	32	34	real
169	n50^33	n54^35	e64r	2	33	35	real
170	n50^34	n54^36	e64r	2	34	36	real
171	n50^35	n54^37	e64r	2	35	37	real
172	n50^36	n54^38	e64r	2	36	38	real
173	n50^37	n54^39	e64r	2	37	39	real
174	n50^38	n54^40	e64r	2	38	40	real
175	n50^39	n54^41	e64r	2	39	41	real
176	n50^40	n54^42	e64r	2	40	42	real
177	n50^41	n54^43	e64r	2	41	43	real
178	n50^42	n54^44	e64r	2	42	44	real
179	n50^43	n54^45	e64r	2	43	45	real
180	n43^0	n43^1	w_n43	1	0	1	wait
181	n43^1	n43^2	w_n43	1	1	2	wait
182	n43^2	n43^3	w_n43	1	2	3	wait
183	n43^3	n43^4	w_n43	1	3	4	wait
184	n43^4	n43^5	w_n43	1	4	5	wait
185	n43^5	n43^6	w_n43	1	5	6	wait
186	n43^6	n43^7	w_n43	1	6	7	wait
187	n43^7	n43^8	w_n43	1	7	8	wait
188	n43^8	n43^9	w_n43	1	8	9	wait
189	n43^9	n43^10	w_n43	1	9	10	wait
190	n43^10	n43^11	w_n43	1	10	11	wait
191	n43^11	n43^12	w_n43	1	11	12	wait
192	n43^12	n43^13	w_n43	1	12	13	wait
193	n43^13	n43^14	w_n43	1	13	14	wait
194	n43^14	n43^15	w_n43	1	14	15	wait
195	n43^15	n43^16	w_n43	1	15	16	wait
196	n43^16	n43^17	w_n43	1	16	17	wait
197	n43^17	n43^18	w_n43	1	17	18	wait
198	n43^18	n43^19	w_n43	1	18	19	wait
199	n43^19	n43^20	w_n43	1	19	20	wait
200	n43^20	n43^21	w_n43	1	20	21	wait
201	n43^21	n43^22	w_n43	1	21	22	wait
202	n43^22	n43^23	w_n43	1	22	23	wait
203	n43^23	n43^24	w_n43	1	23	24	wait
204	n43^24	n43^25	w_n43	1	24	25	wait
205	n43^25	n43^26	w_n43	1	25	26	wait
206	n43^26	n43^27	w_n43	1	26	27	wait
207	n43^27	n43^28	w_n43	1	27	28	wait
208	n43^28	n43^29	w_n43	1	28	29	wait
209	n43^29	n43^30	w_n43	1	29	30	wait
210	n43^30	n43^31	w_n43	1	30	31	wait
211	n43^31	n43^32	w_n43	1	31	32	wait
212	n43^32	n43^33	w_n43	1	32	33	wait
213	n43^33	n43^34	w_n43	1	33	34	wait
214	n43^34	n43^35	w_n43	1	34	35	wait
215	n43^35	n43^36	w_n43	1	35	36	wait
216	n43^36	n43^37	w_n43	1	36	37	wait
217	n43^37	n43^38	w_n43	1	37	38	wait
218	n43^38	n43^39	w_n43	1	38	39	wait
219	n43^39	n43^40	w_n43	1	39	40	wait
220	n43^40	n43^41	w_n43	1	40	41	wait
221	n43^41	n43^42	w_n43	1	41	42	wait
222	n43^42	n43^43	w_n43	1	42	43	wait
223	n43^43	n43^44	w_n43	1	43	44	wait
224	n43^44	n43^45	w_n43	1	44	45	wait
225	n43^45	n43^46	w_n43	1	45	46	wait
226	n43^46	n43^47	w_n43	1	46	47	wait
227	n43^47	n43^48	w_n43	1	47	48	wait
228	n50^0	n50^1	w_n50	1	0	1	wait
229	n50^1	n50^2	w_n50	1	1	2	wait
230	n50^2	n50^3	w_n50	1	2	3	wait
231	n50^3	n50^4	w_n50	1	3	4	wait
232	n50^4	n50^5	w_n50	1	4	5	wait
233	n50^5	n50^6	w_n50	1	5	6	wait
