k	fr	to	eid	tau	t0	t1	kind
0	n15^0	n16^1	e18	1	0	1	real
1	n15^1	n16^2	e18	1	1	2	real
2	n15^2	n16^3	e18	1	2	3	real
3	n15^3	n16^4	e18	1	3	4	real
4	n15^4	n16^5	e18	1	4	5	real
5	n15^5	n16^6	e18	1	5	6	real
6	n15^6	n16^7	e18	1	6	7	real
7	n15^7	n16^8	e18	1	7	8	real
8	n15^8	n16^9	e18	1	8	9	real
9	n15^9	n16^10	e18	1	9	10	real
10	n15^10	n16^11	e18	1	10	11	real
11	n15^11	n16^12	e18	1	11	12	real
12	n15^12	n16^13	e18	1	12	13	real
13	n15^13	n16^14	e18	1	13	14	real
14	n15^14	n16^15	e18	1	14	15	real
15	n15^15	n16^16	e18	1	15	16	real
16	n15^16	n16^17	e18	1	16	17	real
17	n15^17	n16^18	e18	1	17	18	real
18	n15^18	n16^19	e18	1	18	19	real
19	n15^19	n16^20	e18	1	19	20	real
20	n15^20	n16^21	e18	1	20	21	real
21	n15^21	n16^22	e18	1	21	22	real
22	n15^22	n16^23	e18	1	22	23	real
23	n15^23	n16^24	e18	1	23	24	real
24	n15^24	n16^25	e18	1	24	25	real
25	n15^25	n16^26	e18	1	25	26	real
26	n15^26	n16^27	e18	1	26	27	real
27	n15^27	n16^28	e18	1	27	28	real
28	n15^28	n16^29	e18	1	28	29	real
29	n15^29	n16^30	e18	1	29	30	real
30	n15^30	n16^31	e18	1	30	31	real
31	n15^31	n16^32	e18	1	31	32	real
32	n15^32	n16^33	e18	1	32	33	real
33	n15^33	n16^34	e18	1	33	34	real
34	n15^34	n16^35	e18	1	34	35	real
35	n15^35	n16^36	e18	1	35	36	real
36	n15^36	n16^37	e18	1	36	37	real
37	n15^37	n16^38	e18	1	37	38	real
38	n15^38	n16^39	e18	1	38	39	real
39	n15^39	n16^40	e18	1	39	40	real
40	n15^40	n16^41	e18	1	40	41	real
41	n15^41	n16^42	e18	1	41	42	real
42	n15^42	n16^43	e18	1	42	43	real
43	n15^43	n16^44	e18	1	43	44	real
44	n15^44	n16^45	e18	1	44	45	real
45	n15^45	n16^46	e18	1	45	46	real
46	n11^0	n10^1	e13	1	0	1	real
47	n11^1	n10^2	e13	1	1	2	real
48	n11^2	n10^3	e13	1	2	3	real
49	n11^3	n10^4	e13	1	3	4	real
50	n11^4	n10^5	e13	1	4	5	real
51	n11^5	n10^6	e13	1	5	6	real
52	n11^6	n10^7	e13	1	6	7	real
53	n11^7	n10^8	e13	1	7	8	real
54	n11^8	n10^9	e13	1	8	9	real
55	n11^9	n10^10	e13	1	9	10	real
56	n11^10	n10^11	e13	1	10	11	real
57	n11^11	n10^12	e13	1	11	12	real
58	n11^12	n10^13	e13	1	12	13	real
59	n11^13	n10^14	e13	1	13	14	real
60	n11^14	n10^15	e13	1	14	15	real
61	n11^15	n10^16	e13	1	15	16	real
62	n11^16	n10^17	e13	1	16	17	real
63	n11^17	n10^18	e13	1	17	18	real
64	n11^18	n10^19	e13	1	18	19	real
65	n11^19	n10^20	e13	1	19	20	real
66	n11^20	n10^21	e13	1	20	21	real
67	n11^21	n10^22	e13	1	21	22	real
68	n11^22	n10^23	e13	1	22	23	real
69	n11^23	n10^24	e13	1	23	24	real
70	n11^24	n10^25	e13	1	24	25	real
71	n11^25	n10^26	e13	1	25	26	real
72	n11^26	n10^27	e13	1	26	27	real
73	n11^27	n10^28	e13	1	27	28	real
74	n11^28	n10^29	e13	1	28	29	real
75	n11^29	n10^30	e13	1	29	30	real
76	n11^30	n10^31	e13	1	30	31	real
77	n11^31	n10^32	e13	1	31	32	real
78	n11^32	n10^33	e13	1	32	33	real
79	n11^33	n10^34	e13	1	33	34	real
80	n11^34	n10^35	e13	1	34	35	real
81	n11^35	n10^36	e13	1	35	36	real
82	n11^36	n10^37	e13	1	36	37	real
83	n11^37	n10^38	e13	1	37	38	real
84	n11^38	n10^39	e13	1	38	39	real
85	n11^39	n10^40	e13	1	39	40	real
86	n11^40	n10^41	e13	1	40	41	real
87	n11^41	n10^42	e13	1	41	42	real
88	n11^42	n10^43	e13	1	42	43	real
89	n11^43	n10^44	e13	1	43	44	real
90	n14^0	n11^1	e14	1	0	1	real
91	n14^1	n11^2	e14	1	1	2	real
92	n14^2	n11^3	e14	1	2	3	real
93	n14^3	n11^4	e14	1	3	4	real
94	n14^4	n11^5	e14	1	4	5	real
95	n14^5	n11^6	e14	1	5	6	real
96	n14^6	n11^7	e14	1	6	7	real
97	n14^7	n11^8	e14	1	7	8	real
98	n14^8	n11^9	e14	1	8	9	real
99	n14^9	n11^10	e14	1	9	10	real
100	n14^10	n11^11	e14	1	10	11	real
101	n14^11	n11^12	e14	1	11	12	real
102	n14^12	n11^13	e14	1	12	13	real
103	n14^13	n11^14	e14	1	13	14	real
104	n14^14	n11^15	e14	1	14	15	real
105	n14^15	n11^16	e14	1	15	16	real
106	n14^16	n11^17	e14	1	16	17	real
107	n14^17	n11^18	e14	1	17	18	real
108	n14^18	n11^19	e14	1	18	19	real
109	n14^19	n11^20	e14	1	19	20	real
110	n14^20	n11^21	e14	1	20	21	real
111	n14^21	n11^22	e14	1	21	22	real
112	n14^22	n11^23	e14	1	22	23	real
113	n14^23	n11^24	e14	1	23	24	real
114	n14^24	n11^25	e14	1	24	25	real
115	n14^25	n11^26	e14	1	25	26	real
116	n14^26	n11^27	e14	1	26	27	real
117	n14^27	n11^28	e14	1	27	28	real
118	n14^28	n11^29	e14	1	28	29	real
119	n14^29	n11^30	e14	1	29	30	real
120	n14^30	n11^31	e14	1	30	31	real
121	n14^31	n11^32	e14	1	31	32	real
122	n14^32	n11^33	e14	1	32	33	real
123	n14^33	n11^34	e14	1	33	34	real
124	n14^34	n11^35	e14	1	34	35	real
125	n14^35	n11^36	e14	1	35	36	real
126	n14^36	n11^37	e14	1	36	37	real
127	n14^37	n11^38	e14	1	37	38	real
128	n14^38	n11^39	e14	1	38	39	real
129	n14^39	n11^40	e14	1	39	40	real
130	n14^40	n11^41	e14	1	40	41	real
131	n14^41	n11^42	e14	1	41	42	real
132	n14^42	n11^43	e14	1	42	43	real
133	n27^0	n30^1	e35r	1	0	1	real
134	n27^1	n30^2	e35r	1	1	2	real
135	n27^2	n30^3	e35r	1	2	3	real
136	n27^3	n30^4	e35r	1	3	4	real
137	n27^4	n30^5	e35r	1	4	5	real
138	n27^5	n30^6	e35r	1	5	6	real
139	n27^6	n30^7	e35r	1	6	7	real
140	n27^7	n30^8	e35r	1	7	8	real
141	n27^8	n30^9	e35r	1	8	9	real
142	n27^9	n30^10	e35r	1	9	10	real
143	n27^10	n30^11	e35r	1	10	11	real
144	n27^11	n30^12	e35r	1	11	12	real
145	n27^12	n30^13	e35r	1	12	13	real
146	n27^13	n30^14	e35r	1	13	14	real
147	n27^14	n30^15	e35r	1	14	15	real
148	n27^15	n30^16	e35r	1	15	16	real
149	n27^16	n30^17	e35r	1	16	17	real
150	n27^17	n30^18	e35r	1	17	18	real
151	n27^18	n30^19	e35r	1	18	19	real
152	n27^19	n30^20	e35r	1	19	20	real
153	n27^20	n30^21	e35r	1	20	21	real
154	n27^21	n30^22	e35r	1	21	22	real
155	n27^22	n30^23	e35r	1	22	23	real
156	n27^23	n30^24	e35r	1	23	24	real
157	n27^24	n30^25	e35r	1	24	25	real
158	n27^25	n30^26	e35r	1	25	26	real
159	n27^26	n30^27	e35r	1	26	27	real
160	n27^27	n30^28	e35r	1	27	28	real
161	n27^28	n30^29	e35r	1	28	29	real
162	n27^29	n30^30	e35r	1	29	30	real
163	n27^30	n30^31	e35r	1	30	31	real
164	n27^31	n30^32	e35r	1	31	32	real
165	n27^32	n30^33	e35r	1	32	33	real
166	n27^33	n30^34	e35r	1	33	34	real
167	n27^34	n30^35	e35r	1	34	35	real
168	n27^35	n30^36	e35r	1	35	36	real
169	n27^36	n30^37	e35r	1	36	37	real
170	n27^37	n30^38	e35r	1	37	38	real
171	n27^38	n30^39	e35r	1	38	39	real
172	n27^39	n30^40	e35r	1	39	40	real
173	n27^40	n30^41	e35r	1	40	41	real
174	n27^41	n30^42	e35r	1	41	42	real
175	n27^42	n30^43	e35r	1	42	43	real
176	n27^43	n30^44	e35r	1	43	44	real
177	n27^44	n30^45	e35r	1	44	45	real
178	n27^45	n30^46	e35r	1	45	46	real
179	n27^46	n30^47	e35r	1	46	47	real
180	n27^47	n30^48	e35r	1	47	48	real
181	n10^0	n15^1	e15	1	0	1	real
182	n10^1	n15^2	e15	1	1	2	real
183	n10^2	n15^3	e15	1	2	3	real
184	n10^3	n15^4	e15	1	3	4	real
185	n10^4	n15^5	e15	1	4	5	real
186	n10^5	n15^6	e15	1	5	6	real
187	n10^6	n15^7	e15	1	6	7	real
188	n10^7	n15^8	e15	1	7	8	real
189	n10^8	n15^9	e15	1	8	9	real
190	n10^9	n15^10	e15	1	9	10	real
191	n10^10	n15^11	e15	1	10	11	real
192	n10^11	n15^12	e15	1	11	12	real
193	n10^12	n15^13	e15	1	12	13	real
194	n10^13	n15^14	e15	1	13	14	real
195	n10^14	n15^15	e15	1	14	15	real
196	n10^15	n15^16	e15	1	15	16	real
197	n10^16	n15^17	e15	1	16	17	real
198	n10^17	n15^18	e15	1	17	18	real
199	n10^18	n15^19	e15	1	18	19	real
200	n10^19	n15^20	e15	1	19	20	real
201	n10^20	n15^21	e15	1	20	21	real
202	n10^21	n15^22	e15	1	21	22	real
203	n10^22	n15^23	e15	1	22	23	real
204	n10^23	n15^24	e15	1	23	24	real
205	n10^24	n15^25	e15	1	24	25	real
