k	fr	to	eid	tau	t0	t1	kind
0	n47^0	n45^1	e59r	1	0	1	real
1	n47^1	n45^2	e59r	1	1	2	real
2	n47^2	n45^3	e59r	1	2	3	real
3	n47^3	n45^4	e59r	1	3	4	real
4	n47^4	n45^5	e59r	1	4	5	real
5	n47^5	n45^6	e59r	1	5	6	real
6	n47^6	n45^7	e59r	1	6	7	real
7	n47^7	n45^8	e59r	1	7	8	real
8	n47^8	n45^9	e59r	1	8	9	real
9	n47^9	n45^10	e59r	1	9	10	real
10	n47^10	n45^11	e59r	1	10	11	real
11	n47^11	n45^12	e59r	1	11	12	real
12	n47^12	n45^13	e59r	1	12	13	real
13	n47^13	n45^14	e59r	1	13	14	real
14	n47^14	n45^15	e59r	1	14	15	real
15	n47^15	n45^16	e59r	1	15	16	real
16	n47^16	n45^17	e59r	1	16	17	real
17	n47^17	n45^18	e59r	1	17	18	real
18	n47^18	n45^19	e59r	1	18	19	real
19	n47^19	n45^20	e59r	1	19	20	real
20	n47^20	n45^21	e59r	1	20	21	real
21	n47^21	n45^22	e59r	1	21	22	real
22	n47^22	n45^23	e59r	1	22	23	real
23	n47^23	n45^24	e59r	1	23	24	real
24	n47^24	n45^25	e59r	1	24	25	real
25	n47^25	n45^26	e59r	1	25	26	real
26	n47^26	n45^27	e59r	1	26	27	real
27	n47^27	n45^28	e59r	1	27	28	real
28	n47^28	n45^29	e59r	1	28	29	real
29	n47^29	n45^30	e59r	1	29	30	real
30	n47^30	n45^31	e59r	1	30	31	real
31	n47^31	n45^32	e59r	1	31	32	real
32	n47^32	n45^33	e59r	1	32	33	real
33	n47^33	n45^34	e59r	1	33	34	real
34	n47^34	n45^35	e59r	1	34	35	real
35	n47^35	n45^36	e59r	1	35	36	real
36	n47^36	n45^37	e59r	1	36	37	real
37	n47^37	n45^38	e59r	1	37	38	real
38	n47^38	n45^39	e59r	1	38	39	real
39	n47^39	n45^40	e59r	1	39	40	real
40	n47^40	n45^41	e59r	1	40	41	real
41	n47^41	n45^42	e59r	1	41	42	real
