k	fr	to	eid	tau	t0	t1	kind
0	n8^0	n12^1	e11r	1	0	1	real
1	n8^1	n12^2	e11r	1	1	2	real
2	n8^2	n12^3	e11r	1	2	3	real
3	n8^3	n12^4	e11r	1	3	4	real
4	n8^4	n12^5	e11r	1	4	5	real
5	n8^5	n12^6	e11r	1	5	6	real
6	n8^6	n12^7	e11r	1	6	7	real
7	n8^7	n12^8	e11r	1	7	8	real
8	n8^8	n12^9	e11r	1	8	9	real
9	n8^9	n12^10	e11r	1	9	10	real
10	n8^10	n12^11	e11r	1	10	11	real
11	n8^11	n12^12	e11r	1	11	12	real
12	n8^12	n12^13	e11r	1	12	13	real
13	n8^13	n12^14	e11r	1	13	14	real
14	n8^14	n12^15	e11r	1	14	15	real
15	n8^15	n12^16	e11r	1	15	16	real
16	n8^16	n12^17	e11r	1	16	17	real
17	n8^17	n12^18	e11r	1	17	18	real
18	n8^18	n12^19	e11r	1	18	19	real
19	n8^19	n12^20	e11r	1	19	20	real
20	n8^20	n12^21	e11r	1	20	21	real
21	n8^21	n12^22	e11r	1	21	22	real
22	n8^22	n12^23	e11r	1	22	23	real
23	n8^23	n12^24	e11r	1	23	24	real
24	n8^24	n12^25	e11r	1	24	25	real
25	n8^25	n12^26	e11r	1	25	26	real
26	n8^26	n12^27	e11r	1	26	27	real
27	n8^27	n12^28	e11r	1	27	28	real
28	n8^28	n12^29	e11r	1	28	29	real
29	n8^29	n12^30	e11r	1	29	30	real
30	n8^30	n12^31	e11r	1	30	31	real
31	n12^0	n22^2	e19r	2	0	2	real
32	n12^1	n22^3	e19r	2	1	3	real
33	n12^2	n22^4	e19r	2	2	4	real
34	n12^3	n22^5	e19r	2	3	5	real
35	n12^4	n22^6	e19r	2	4	6	real
36	n12^5	n22^7	e19r	2	5	7	real
37	n12^6	n22^8	e19r	2	6	8	real
38	n12^7	n22^9	e19r	2	7	9	real
39	n12^8	n22^10	e19r	2	8	10	real
40	n12^9	n22^11	e19r	2	9	11	real
41	n12^10	n22^12	e19r	2	10	12	real
42	n12^11	n22^13	e19r	2	11	13	real
43	n12^12	n22^14	e19r	2	12	14	real
44	n12^13	n22^15	e19r	2	13	15	real
45	n12^14	n22^16	e19r	2	14	16	real
46	n12^15	n22^17	e19r	2	15	17	real
47	n12^16	n22^18	e19r	2	16	18	real
48	n12^17	n22^19	e19r	2	17	19	real
49	n12^18	n22^20	e19r	2	18	20	real
50	n12^19	n22^21	e19r	2	19	21	real
51	n12^20	n22^22	e19r	2	20	22	real
52	n12^21	n22^23	e19r	2	21	23	real
53	n12^22	n22^24	e19r	2	22	24	real
54	n12^23	n22^25	e19r	2	23	25	real
55	n12^24	n22^26	e19r	2	24	26	real
56	n12^25	n22^27	e19r	2	25	27	real
57	n12^26	n22^28	e19r	2	26	28	real
58	n12^27	n22^29	e19r	2	27	29	real
59	n12^28	n22^30	e19r	2	28	30	real
60	n12^29	n22^31	e19r	2	29	31	real
61	n12^30	n22^32	e19r	2	30	32	real
62	n12^31	n22^33	e19r	2	31	33	real
63	n43^0	n49^1	e56	1	0	1	real
64	n43^1	n49^2	e56	1	1	2	real
65	n43^2	n49^3	e56	1	2	3	real
66	n43^3	n49^4	e56	1	3	4	real
67	n43^4	n49^5	e56	1	4	5	real
68	n43^5	n49^6	e56	1	5	6	real
69	n43^6	n49^7	e56	1	6	7	real
70	n43^7	n49^8	e56	1	7	8	real
71	n43^8	n49^9	e56	1	8	9	real
72	n43^9	n49^10	e56	1	9	10	real
73	n43^10	n49^11	e56	1	10	11	real
74	n43^11	n49^12	e56	1	11	12	real
75	n43^12	n49^13	e56	1	12	13	real
76	n43^13	n49^14	e56	1	13	14	real
77	n43^14	n49^15	e56	1	14	15	real
78	n43^15	n49^16	e56	1	15	16	real
