k	fr	to	eid	tau	t0	t1	kind
0	n19^0	n20^2	e23r	2	0	2	real
1	n19^1	n20^3	e23r	2	1	3	real
2	n19^2	n20^4	e23r	2	2	4	real
3	n19^3	n20^5	e23r	2	3	5	real
4	n19^4	n20^6	e23r	2	4	6	real
5	n19^5	n20^7	e23r	2	5	7	real
6	n19^6	n20^8	e23r	2	6	8	real
7	n19^7	n20^9	e23r	2	7	9	real
8	n19^8	n20^10	e23r	2	8	10	real
9	n19^9	n20^11	e23r	2	9	11	real
10	n19^10	n20^12	e23r	2	10	12	real
11	n19^11	n20^13	e23r	2	11	13	real
12	n19^12	n20^14	e23r	2	12	14	real
13	n19^13	n20^15	e23r	2	13	15	real
14	n19^14	n20^16	e23r	2	14	16	real
15	n19^15	n20^17	e23r	2	15	17	real
16	n19^16	n20^18	e23r	2	16	18	real
17	n19^17	n20^19	e23r	2	17	19	real
18	n19^18	n20^20	e23r	2	18	20	real
19	n19^19	n20^21	e23r	2	19	21	real
20	n19^20	n20^22	e23r	2	20	22	real
21	n19^21	n20^23	e23r	2	21	23	real
22	n19^22	n20^24	e23r	2	22	24	real
23	n19^23	n20^25	e23r	2	23	25	real
24	n19^24	n20^26	e23r	2	24	26	real
25	n19^25	n20^27	e23r	2	25	27	real
26	n19^26	n20^28	e23r	2	26	28	real
27	n19^27	n20^29	e23r	2	27	29	real
28	n19^28	n20^30	e23r	2	28	30	real
29	n19^29	n20^31	e23r	2	29	31	real
30	n19^30	n20^32	e23r	2	30	32	real
31	n19^31	n20^33	e23r	2	31	33	real
32	n19^32	n20^34	e23r	2	32	34	real
33	n19^33	n20^35	e23r	2	33	35	real
34	n19^34	n20^36	e23r	2	34	36	real
35	n19^35	n20^37	e23r	2	35	37	real
36	n19^36	n20^38	e23r	2	36	38	real
37	n19^37	n20^39	e23r	2	37	39	real
38	n19^38	n20^40	e23r	2	38	40	real
39	n19^39	n20^41	e23r	2	39	41	real
40	n19^40	n20^42	e23r	2	40	42	real
41	n19^41	n20^43	e23r	2	41	43	real
42	n19^42	n20^44	e23r	2	42	44	real
43	n19^43	n20^45	e23r	2	43	45	real
44	n19^44	n20^46	e23r	2	44	46	real
45	n20^0	n26^1	e27r	1	0	1	real
46	n20^1	n26^2	e27r	1	1	2	real
47	n20^2	n26^3	e27r	1	2	3	real
48	n20^3	n26^4	e27r	1	3	4	real
49	n20^4	n26^5	e27r	1	4	5	real
50	n20^5	n26^6	e27r	1	5	6	real
51	n20^6	n26^7	e27r	1	6	7	real
52	n20^7	n26^8	e27r	1	7	8	real
53	n20^8	n26^9	e27r	1	8	9	real
54	n20^9	n26^10	e27r	1	9	10	real
55	n20^10	n26^11	e27r	1	10	11	real
56	n20^11	n26^12	e27r	1	11	12	real
57	n20^12	n26^13	e27r	1	12	13	real
58	n20^13	n26^14	e27r	1	13	14	real
59	n20^14	n26^15	e27r	1	14	15	real
60	n20^15	n26^16	e27r	1	15	16	real
61	n20^16	n26^17	e27r	1	16	17	real
62	n20^17	n26^18	e27r	1	17	18	real
63	n20^18	n26^19	e27r	1	18	19	real
64	n20^19	n26^20	e27r	1	19	20	real
65	n20^20	n26^21	e27r	1	20	21	real
66	n20^21	n26^22	e27r	1	21	22	real
67	n20^22	n26^23	e27r	1	22	23	real
68	n20^23	n26^24	e27r	1	23	24	real
69	n20^24	n26^25	e27r	1	24	25	real
70	n20^25	n26^26	e27r	1	25	26	real
71	n20^26	n26^27	e27r	1	26	27	real
72	n20^27	n26^28	e27r	1	27	28	real
73	n20^28	n26^29	e27r	1	28	29	real
74	n20^29	n26^30	e27r	1	29	30	real
75	n20^30	n26^31	e27r	1	30	31	real
76	n20^31	n26^32	e27r	1	31	32	real
77	n20^32	n26^33	e27r	1	32	33	real
78	n20^33	n26^34	e27r	1	33	34	real
79	n20^34	n26^35	e27r	1	34	35	real
80	n20^35	n26^36	e27r	1	35	36	real
81	n20^36	n26^37	e27r	1	36	37	real
82	n20^37	n26^38	e27r	1	37	38	real
83	n20^38	n26^39	e27r	1	38	39	real
84	n20^39	n26^40	e27r	1	39	40	real
85	n20^40	n26^41	e27r	1	40	41	real
86	n20^41	n26^42	e27r	1	41	42	real
87	n20^42	n26^43	e27r	1	42	43	real
88	n20^43	n26^44	e27r	1	43	44	real
89	n20^44	n26^45	e27r	1	44	45	real
90	n20^45	n26^46	e27r	1	45	46	real
91	n20^46	n26^47	e27r	1	46	47	real
92	n18^0	n19^1	e21r	1	0	1	real
93	n18^1	n19^2	e21r	1	1	2	real
94	n18^2	n19^3	e21r	1	2	3	real
95	n18^3	n19^4	e21r	1	3	4	real
96	n18^4	n19^5	e21r	1	4	5	real
97	n18^5	n19^6	e21r	1	5	6	real
98	n18^6	n19^7	e21r	1	6	7	real
99	n18^7	n19^8	e21r	1	7	8	real
100	n18^8	n19^9	e21r	1	8	9	real
101	n18^9	n19^10	e21r	1	9	10	real
102	n18^10	n19^11	e21r	1	10	11	real
103	n18^11	n19^12	e21r	1	11	12	real
104	n18^12	n19^13	e21r	1	12	13	real
105	n18^13	n19^14	e21r	1	13	14	real
106	n18^14	n19^15	e21r	1	14	15	real
107	n18^15	n19^16	e21r	1	15	16	real
108	n18^16	n19^17	e21r	1	16	17	real
109	n18^17	n19^18	e21r	1	17	18	real
110	n18^18	n19^19	e21r	1	18	19	real
111	n18^19	n19^20	e21r	1	19	20	real
112	n18^20	n19^21	e21r	1	20	21	real
113	n18^21	n19^22	e21r	1	21	22	real
114	n18^22	n19^23	e21r	1	22	23	real
115	n18^23	n19^24	e21r	1	23	24	real
116	n18^24	n19^25	e21r	1	24	25	real
117	n18^25	n19^26	e21r	1	25	26	real
118	n18^26	n19^27	e21r	1	26	27	real
119	n18^27	n19^28	e21r	1	27	28	real
120	n18^28	n19^29	e21r	1	28	29	real
121	n18^29	n19^30	e21r	1	29	30	real
122	n18^30	n19^31	e21r	1	30	31	real
123	n18^31	n19^32	e21r	1	31	32	real
124	n18^32	n19^33	e21r	1	32	33	real
125	n18^33	n19^34	e21r	1	33	34	real
126	n18^34	n19^35	e21r	1	34	35	real
127	n18^35	n19^36	e21r	1	35	36	real
128	n18^36	n19^37	e21r	1	36	37	real
129	n18^37	n19^38	e21r	1	37	38	real
130	n18^38	n19^39	e21r	1	38	39	real
131	n18^39	n19^40	e21r	1	39	40	real
132	n18^40	n19^41	e21r	1	40	41	real
133	n18^41	n19^42	e21r	1	41	42	real
134	n18^42	n19^43	e21r	1	42	43	real
135	n18^43	n19^44	e21r	1	43	44	real
136	n17^0	n18^1	e20r	1	0	1	real
137	n17^1	n18^2	e20r	1	1	2	real
138	n17^2	n18^3	e20r	1	2	3	real
139	n17^3	n18^4	e20r	1	3	4	real
140	n17^4	n18^5	e20r	1	4	5	real
141	n17^5	n18^6	e20r	1	5	6	real
142	n17^6	n18^7	e20r	1	6	7	real
143	n17^7	n18^8	e20r	1	7	8	real
144	n17^8	n18^9	e20r	1	8	9	real
145	n17^9	n18^10	e20r	1	9	10	real
146	n17^10	n18^11	e20r	1	10	11	real
147	n17^11	n18^12	e20r	1	11	12	real
148	n17^12	n18^13	e20r	1	12	13	real
149	n17^13	n18^14	e20r	1	13	14	real
150	n17^14	n18^15	e20r	1	14	15	real
151	n17^15	n18^16	e20r	1	15	16	real
152	n17^16	n18^17	e20r	1	16	17	real
153	n17^17	n18^18	e20r	1	17	18	real
154	n17^18	n18^19	e20r	1	18	19	real
155	n17^19	n18^20	e20r	1	19	20	real
156	n17^20	n18^21	e20r	1	20	21	real
157	n17^21	n18^22	e20r	1	21	22	real
158	n17^22	n18^23	e20r	1	22	23	real
159	n17^23	n18^24	e20r	1	23	24	real
160	n17^24	n18^25	e20r	1	24	25	real
161	n17^25	n18^26	e20r	1	25	26	real
162	n17^26	n18^27	e20r	1	26	27	real
163	n17^27	n18^28	e20r	1	27	28	real
164	n17^28	n18^29	e20r	1	28	29	real
165	n17^29	n18^30	e20r	1	29	30	real
166	n17^30	n18^31	e20r	1	30	31	real
167	n17^31	n18^32	e20r	1	31	32	real
168	n17^32	n18^33	e20r	1	32	33	real
169	n17^33	n18^34	e20r	1	33	34	real
170	n17^34	n18^35	e20r	1	34	35	real
171	n17^35	n18^36	e20r	1	35	36	real
172	n17^36	n18^37	e20r	1	36	37	real
173	n17^37	n18^38	e20r	1	37	38	real
174	n17^38	n18^39	e20r	1	38	39	real
175	n17^39	n18^40	e20r	1	39	40	real
176	n17^40	n18^41	e20r	1	40	41	real
177	n17^41	n18^42	e20r	1	41	42	real
178	n17^42	n18^43	e20r	1	42	43	real
179	n26^0	n29^1	e34r	1	0	1	real
180	n26^1	n29^2	e34r	1	1	2	real
181	n26^2	n29^3	e34r	1	2	3	real
182	n26^3	n29^4	e34r	1	3	4	real
183	n26^4	n29^5	e34r	1	4	5	real
184	n26^5	n29^6	e34r	1	5	6	real
185	n26^6	n29^7	e34r	1	6	7	real
186	n26^7	n29^8	e34r	1	7	8	real
187	n26^8	n29^9	e34r	1	8	9	real
188	n26^9	n29^10	e34r	1	9	10	real
189	n26^10	n29^11	e34r	1	10	11	real
190	n26^11	n29^12	e34r	1	11	12	real
191	n26^12	n29^13	e34r	1	12	13	real
192	n26^13	n29^14	e34r	1	13	14	real
193	n26^14	n29^15	e34r	1	14	15	real
194	n26^15	n29^16	e34r	1	15	16	real
195	n26^16	n29^17	e34r	1	16	17	real
196	n26^17	n29^18	e34r	1	17	18	real
197	n26^18	n29^19	e34r	1	18	19	real
198	n26^19	n29^20	e34r	1	19	20	real
199	n26^20	n29^21	e34r	1	20	21	real
200	n26^21	n29^22	e34r	1	21	22	real
201	n26^22	n29^23	e34r	1	22	23	real
202	n26^23	n29^24	e34r	1	23	24	real
203	n26^24	n29^25	e34r	1	24	25	real
204	n26^25	n29^26	e34r	1	25	26	real
205	n26^26	n29^27	e34r	1	26	27	real
206	n26^27	n29^28	e34r	1	27	28	real
207	n26^28	n29^29	e34r	1	28	29	real
208	n26^29	n29^30	e34r	1	29	30	real
209	n26^30	n29^31	e34r	1	30	31	real
210	n26^31	n29^32	e34r	1	31	32	real
211	n26^32	n29^33	e34r	1	32	33	real
212	n26^33	n29^34	e34r	1	33	34	real
213	n26^34	n29^35	e34r	1	34	35	real
214	n26^35	n29^36	e34r	1	35	36	real
215	n26^36	n29^37	e34r	1	36	37	real
216	n26^37	n29^38	e34r	1	37	38	real
217	n26^38	n29^39	e34r	1	38	39	real
218	n26^39	n29^40	e34r	1	39	40	real
219	n26^40	n29^41	e34r	1	40	41	real
220	n26^41	n29^42	e34r	1	41	42	real
221	n26^42	n29^43	e34r	1	42	43	real
222	n26^43	n29^44	e34r	1	43	44	real
223	n26^44	n29^45	e34r	1	44	45	real
224	n26^45	n29^46	e34r	1	45	46	real
225	n26^46	n29^47	e34r	1	46	47	real
226	n26^47	n29^48	e34r	1	47	48	real
227	n17^0	n17^1	w_n17	1	0	1	wait
228	n17^1	n17^2	w_n17	1	1	2	wait
229	n17^2	n17^3	w_n17	1	2	3	wait
230	n17^3	n17^4	w_n17	1	3	4	wait
231	n17^4	n17^5	w_n17	1	4	5	wait
232	n17^5	n17^6	w_n17	1	5	6	wait
233	n17^6	n17^7	w_n17	1	6	7	wait
234	n17^7	n17^8	w_n17	1	7	8	wait
235	n17^8	n17^9	w_n17	1	8	9	wait
236	n17^9	n17^10	w_n17	1	9	10	wait
237	n17^10	n17^11	w_n17	1	10	11	wait
238	n17^11	n17^12	w_n17	1	11	12	wait
