k	fr	to	eid	tau	t0	t1	kind
0	n21^0	n18^2	e22r	2	0	2	real
1	n21^1	n18^3	e22r	2	1	3	real
2	n21^2	n18^4	e22r	2	2	4	real
3	n21^3	n18^5	e22r	2	3	5	real
4	n21^4	n18^6	e22r	2	4	6	real
5	n21^5	n18^7	e22r	2	5	7	real
6	n21^6	n18^8	e22r	2	6	8	real
7	n21^7	n18^9	e22r	2	7	9	real
8	n21^8	n18^10	e22r	2	8	10	real
9	n21^9	n18^11	e22r	2	9	11	real
10	n21^10	n18^12	e22r	2	10	12	real
11	n21^11	n18^13	e22r	2	11	13	real
12	n21^12	n18^14	e22r	2	12	14	real
13	n21^13	n18^15	e22r	2	13	15	real
14	n21^14	n18^16	e22r	2	14	16	real
15	n21^15	n18^17	e22r	2	15	17	real
16	n21^16	n18^18	e22r	2	16	18	real
17	n21^17	n18^19	e22r	2	17	19	real
18	n21^18	n18^20	e22r	2	18	20	real
19	n21^19	n18^21	e22r	2	19	21	real
20	n21^20	n18^22	e22r	2	20	22	real
21	n21^21	n18^23	e22r	2	21	23	real
22	n21^22	n18^24	e22r	2	22	24	real
23	n21^23	n18^25	e22r	2	23	25	real
24	n21^24	n18^26	e22r	2	24	26	real
25	n21^25	n18^27	e22r	2	25	27	real
26	n21^26	n18^28	e22r	2	26	28	real
27	n21^27	n18^29	e22r	2	27	29	real
28	n21^28	n18^30	e22r	2	28	30	real
29	n21^29	n18^31	e22r	2	29	31	real
30	n21^30	n18^32	e22r	2	30	32	real
31	n21^31	n18^33	e22r	2	31	33	real
32	n21^32	n18^34	e22r	2	32	34	real
33	n21^33	n18^35	e22r	2	33	35	real
34	n21^34	n18^36	e22r	2	34	36	real
35	n21^35	n18^37	e22r	2	35	37	real
36	n21^36	n18^38	e22r	2	36	38	real
37	n21^37	n18^39	e22r	2	37	39	real
38	n21^38	n18^40	e22r	2	38	40	real
39	n21^39	n18^41	e22r	2	39	41	real
40	n21^40	n18^42	e22r	2	40	42	real
41	n21^41	n18^43	e22r	2	41	43	real
42	n37^0	n30^2	e41r	2	0	2	real
43	n37^1	n30^3	e41r	2	1	3	real
44	n37^2	n30^4	e41r	2	2	4	real
45	n37^3	n30^5	e41r	2	3	5	real
46	n37^4	n30^6	e41r	2	4	6	real
47	n37^5	n30^7	e41r	2	5	7	real
48	n37^6	n30^8	e41r	2	6	8	real
49	n37^7	n30^9	e41r	2	7	9	real
50	n37^8	n30^10	e41r	2	8	10	real
51	n37^9	n30^11	e41r	2	9	11	real
52	n37^10	n30^12	e41r	2	10	12	real
53	n37^11	n30^13	e41r	2	11	13	real
54	n37^12	n30^14	e41r	2	12	14	real
55	n37^13	n30^15	e41r	2	13	15	real
56	n37^14	n30^16	e41r	2	14	16	real
57	n37^15	n30^17	e41r	2	15	17	real
58	n37^16	n30^18	e41r	2	16	18	real
59	n37^17	n30^19	e41r	2	17	19	real
60	n37^18	n30^20	e41r	2	18	20	real
61	n37^19	n30^21	e41r	2	19	21	real
62	n37^20	n30^22	e41r	2	20	22	real
63	n37^21	n30^23	e41r	2	21	23	real
64	n37^22	n30^24	e41r	2	22	24	real
65	n37^23	n30^25	e41r	2	23	25	real
66	n37^24	n30^26	e41r	2	24	26	real
67	n37^25	n30^27	e41r	2	25	27	real
68	n37^26	n30^28	e41r	2	26	28	real
69	n37^27	n30^29	e41r	2	27	29	real
70	n37^28	n30^30	e41r	2	28	30	real
71	n37^29	n30^31	e41r	2	29	31	real
72	n37^30	n30^32	e41r	2	30	32	real
73	n37^31	n30^33	e41r	2	31	33	real
74	n37^32	n30^34	e41r	2	32	34	real
75	n37^33	n30^35	e41r	2	33	35	real
76	n37^34	n30^36	e41r	2	34	36	real
77	n37^35	n30^37	e41r	2	35	37	real
78	n37^36	n30^38	e41r	2	36	38	real
79	n37^37	n30^39	e41r	2	37	39	real
80	n13^0	n2^2	e9	2	0	2	real
81	n13^1	n2^3	e9	2	1	3	real
82	n13^2	n2^4	e9	2	2	4	real
83	n13^3	n2^5	e9	2	3	5	real
84	n13^4	n2^6	e9	2	4	6	real
85	n13^5	n2^7	e9	2	5	7	real
86	n13^6	n2^8	e9	2	6	8	real
87	n13^7	n2^9	e9	2	7	9	real
88	n13^8	n2^10	e9	2	8	10	real
89	n13^9	n2^11	e9	2	9	11	real
90	n13^10	n2^12	e9	2	10	12	real
91	n13^11	n2^13	e9	2	11	13	real
92	n13^12	n2^14	e9	2	12	14	real
93	n13^13	n2^15	e9	2	13	15	real
94	n13^14	n2^16	e9	2	14	16	real
95	n13^15	n2^17	e9	2	15	17	real
96	n13^16	n2^18	e9	2	16	18	real
97	n13^17	n2^19	e9	2	17	19	real
98	n13^18	n2^20	e9	2	18	20	real
99	n13^19	n2^21	e9	2	19	21	real
100	n13^20	n2^22	e9	2	20	22	real
101	n13^21	n2^23	e9	2	21	23	real
102	n13^22	n2^24	e9	2	22	24	real
103	n13^23	n2^25	e9	2	23	25	real
104	n13^24	n2^26	e9	2	24	26	real
105	n13^25	n2^27	e9	2	25	27	real
106	n13^26	n2^28	e9	2	26	28	real
107	n13^27	n2^29	e9	2	27	29	real
108	n13^28	n2^30	e9	2	28	30	real
109	n13^29	n2^31	e9	2	29	31	real
110	n13^30	n2^32	e9	2	30	32	real
111	n13^31	n2^33	e9	2	31	33	real
112	n13^32	n2^34	e9	2	32	34	real
113	n13^33	n2^35	e9	2	33	35	real
114	n13^34	n2^36	e9	2	34	36	real
115	n13^35	n2^37	e9	2	35	37	real
116	n13^36	n2^38	e9	2	36	38	real
117	n13^37	n2^39	e9	2	37	39	real
118	n13^38	n2^40	e9	2	38	40	real
119	n13^39	n2^41	e9	2	39	41	real
120	n13^40	n2^42	e9	2	40	42	real
121	n13^41	n2^43	e9	2	41	43	real
122	n13^42	n2^44	e9	2	42	44	real
123	n13^43	n2^45	e9	2	43	45	real
124	n13^44	n2^46	e9	2	44	46	real
125	n18^0	n13^1	e17	1	0	1	real
126	n18^1	n13^2	e17	1	1	2	real
127	n18^2	n13^3	e17	1	2	3	real
128	n18^3	n13^4	e17	1	3	4	real
129	n18^4	n13^5	e17	1	4	5	real
130	n18^5	n13^6	e17	1	5	6	real
131	n18^6	n13^7	e17	1	6	7	real
132	n18^7	n13^8	e17	1	7	8	real
133	n18^8	n13^9	e17	1	8	9	real
134	n18^9	n13^10	e17	1	9	10	real
135	n18^10	n13^11	e17	1	10	11	real
136	n18^11	n13^12	e17	1	11	12	real
137	n18^12	n13^13	e17	1	12	13	real
138	n18^13	n13^14	e17	1	13	14	real
139	n18^14	n13^15	e17	1	14	15	real
140	n18^15	n13^16	e17	1	15	16	real
141	n18^16	n13^17	e17	1	16	17	real
142	n18^17	n13^18	e17	1	17	18	real
143	n18^18	n13^19	e17	1	18	19	real
144	n18^19	n13^20	e17	1	19	20	real
145	n18^20	n13^21	e17	1	20	21	real
146	n18^21	n13^22	e17	1	21	22	real
147	n18^22	n13^23	e17	1	22	23	real
148	n18^23	n13^24	e17	1	23	24	real
149	n18^24	n13^25	e17	1	24	25	real
150	n18^25	n13^26	e17	1	25	26	real
151	n18^26	n13^27	e17	1	26	27	real
152	n18^27	n13^28	e17	1	27	28	real
153	n18^28	n13^29	e17	1	28	29	real
154	n18^29	n13^30	e17	1	29	30	real
155	n18^30	n13^31	e17	1	30	31	real
156	n18^31	n13^32	e17	1	31	32	real
157	n18^32	n13^33	e17	1	32	33	real
158	n18^33	n13^34	e17	1	33	34	real
159	n18^34	n13^35	e17	1	34	35	real
160	n18^35	n13^36	e17	1	35	36	real
161	n18^36	n13^37	e17	1	36	37	real
162	n18^37	n13^38	e17	1	37	38	real
163	n18^38	n13^39	e17	1	38	39	real
164	n18^39	n13^40	e17	1	39	40	real
165	n18^40	n13^41	e17	1	40	41	real
166	n18^41	n13^42	e17	1	41	42	real
167	n18^42	n13^43	e17	1	42	43	real
168	n18^43	n13^44	e17	1	43	44	real
169	n1^0	n3^1	e3r	1	0	1	real
170	n1^1	n3^2	e3r	1	1	2	real
171	n1^2	n3^3	e3r	1	2	3	real
172	n1^3	n3^4	e3r	1	3	4	real
173	n1^4	n3^5	e3r	1	4	5	real
174	n1^5	n3^6	e3r	1	5	6	real
175	n1^6	n3^7	e3r	1	6	7	real
176	n1^7	n3^8	e3r	1	7	8	real
177	n1^8	n3^9	e3r	1	8	9	real
178	n1^9	n3^10	e3r	1	9	10	real
179	n1^10	n3^11	e3r	1	10	11	real
180	n1^11	n3^12	e3r	1	11	12	real
181	n1^12	n3^13	e3r	1	12	13	real
182	n1^13	n3^14	e3r	1	13	14	real
183	n1^14	n3^15	e3r	1	14	15	real
184	n1^15	n3^16	e3r	1	15	16	real
185	n1^16	n3^17	e3r	1	16	17	real
186	n1^17	n3^18	e3r	1	17	18	real
187	n1^18	n3^19	e3r	1	18	19	real
188	n1^19	n3^20	e3r	1	19	20	real
189	n1^20	n3^21	e3r	1	20	21	real
190	n1^21	n3^22	e3r	1	21	22	real
191	n1^22	n3^23	e3r	1	22	23	real
192	n1^23	n3^24	e3r	1	23	24	real
193	n1^24	n3^25	e3r	1	24	25	real
194	n1^25	n3^26	e3r	1	25	26	real
195	n1^26	n3^27	e3r	1	26	27	real
196	n1^27	n3^28	e3r	1	27	28	real
197	n1^28	n3^29	e3r	1	28	29	real
198	n1^29	n3^30	e3r	1	29	30	real
199	n1^30	n3^31	e3r	1	30	31	real
200	n1^31	n3^32	e3r	1	31	32	real
201	n1^32	n3^33	e3r	1	32	33	real
202	n1^33	n3^34	e3r	1	33	34	real
203	n1^34	n3^35	e3r	1	34	35	real
204	n1^35	n3^36	e3r	1	35	36	real
205	n1^36	n3^37	e3r	1	36	37	real
206	n1^37	n3^38	e3r	1	37	38	real
207	n1^38	n3^39	e3r	1	38	39	real
208	n1^39	n3^40	e3r	1	39	40	real
209	n1^40	n3^41	e3r	1	40	41	real
210	n1^41	n3^42	e3r	1	41	42	real
211	n1^42	n3^43	e3r	1	42	43	real
212	n1^43	n3^44	e3r	1	43	44	real
213	n1^44	n3^45	e3r	1	44	45	real
214	n1^45	n3^46	e3r	1	45	46	real
215	n1^46	n3^47	e3r	1	46	47	real
216	n1^47	n3^48	e3r	1	47	48	real
217	n30^0	n21^2	e30r	2	0	2	real
218	n30^1	n21^3	e30r	2	1	3	real
219	n30^2	n21^4	e30r	2	2	4	real
220	n30^3	n21^5	e30r	2	3	5	real
221	n30^4	n21^6	e30r	2	4	6	real
222	n30^5	n21^7	e30r	2	5	7	real
223	n30^6	n21^8	e30r	2	6	8	real
224	n30^7	n21^9	e30r	2	7	9	real
225	n30^8	n21^10	e30r	2	8	10	real
226	n30^9	n21^11	e30r	2	9	11	real
227	n30^10	n21^12	e30r	2	10	12	real
228	n30^11	n21^13	e30r	2	11	13	real
229	n30^12	n21^14	e30r	2	12	14	real
230	n30^13	n21^15	e30r	2	13	15	real
231	n30^14	n21^16	e30r	2	14	16	real
232	n30^15	n21^17	e30r	2	15	17	real
233	n30^16	n21^18	e30r	2	16	18	real
234	n30^17	n21^19	e30r	2	17	19	real
235	n30^18	n21^20	e30r	2	18	20	real
236	n30^19	n21^21	e30r	2	19	21	real
237	n30^20	n21^22	e30r	2	20	22	real
238	n30^21	n21^23	e30r	2	21	23	real
239	n30^22	n21^24	e30r	2	22	24	real
240	n30^23	n21^25	e30r	2	23	25	real
241	n30^24	n21^26	e30r	2	24	26	real
242	n30^25	n21^27	e30r	2	25	27	real
243	n30^26	n21^28	e30r	2	26	28	real
244	n30^27	n21^29	e30r	2	27	29	real
245	n30^28	n21^30	e30r	2	28	30	real
246	n30^29	n21^31	e30r	2	29	31	real
247	n30^30	n21^32	e30r	2	30	32	real
248	n30^31	n21^33	e30r	2	31	33	real
249	n30^32	n21^34	e30r	2	32	34	real
250	n30^33	n21^35	e30r	2	33	35	real
251	n30^34	n21^36	e30r	2	34	36	real
252	n30^35	n21^37	e30r	2	35	37	real
253	n30^36	n21^38	e30r	2	36	38	real
254	n30^37	n21^39	e30r	2	37	39	real
255	n30^38	n21^40	e30r	2	38	40	real
256	n30^39	n21^41	e30r	2	39	41	real
257	n48^0	n37^2	e54r	2	0	2	real
258	n48^1	n37^3	e54r	2	1	3	real
259	n48^2	n37^4	e54r	2	2	4	real
260	n48^3	n37^5	e54r	2	3	5	real
261	n48^4	n37^6	e54r	2	4	6	real
262	n48^5	n37^7	e54r	2	5	7	real
263	n48^6	n37^8	e54r	2	6	8	real
264	n48^7	n37^9	e54r	2	7	9	real
265	n48^8	n37^10	e54r	2	8	10	real
266	n48^9	n37^11	e54r	2	9	11	real
267	n48^10	n37^12	e54r	2	10	12	real
268	n48^11	n37^13	e54r	2	11	13	real
269	n48^12	n37^14	e54r	2	12	14	real
270	n48^13	n37^15	e54r	2	13	15	real
271	n48^14	n37^16	e54r	2	14	16	real
272	n48^15	n37^17	e54r	2	15	17	real
273	n48^16	n37^18	e54r	2	16	18	real
274	n48^17	n37^19	e54r	2	17	19	real
275	n48^18	n37^20	e54r	2	18	20	real
276	n48^19	n37^21	e54r	2	19	21	real
277	n48^20	n37^22	e54r	2	20	22	real
278	n48^21	n37^23	e54r	2	21	23	real
279	n48^22	n37^24	e54r	2	22	24	real
280	n48^23	n37^25	e54r	2	23	25	real
281	n48^24	n37^26	e54r	2	24	26	real
282	n48^25	n37^27	e54r	2	25	27	real
283	n48^26	n37^28	e54r	2	26	28	real
284	n48^27	n37^29	e54r	2	27	29	real
285	n48^28	n37^30	e54r	2	28	30	real
286	n48^29	n37^31	e54r	2	29	31	real
287	n48^30	n37^32	e54r	2	30	32	real
288	n48^31	n37^33	e54r	2	31	33	real
289	n48^32	n37^34	e54r	2	32	34	real
290	n48^33	n37^35	e54r	2	33	35	real
291	n48^34	n37^36	e54r	2	34	36	real
292	n48^35	n37^37	e54r	2	35	37	real
293	n2^0	n1^1	e1r	1	0	1	real
294	n2^1	n1^2	e1r	1	1	2	real
295	n2^2	n1^3	e1r	1	2	3	real
296	n2^3	n1^4	e1r	1	3	4	real
297	n2^4	n1^5	e1r	1	4	5	real
298	n2^5	n1^6	e1r	1	5	6	real
299	n2^6	n1^7	e1r	1	6	7	real
300	n2^7	n1^8	e1r	1	7	8	real
301	n2^8	n1^9	e1r	1	8	9	real
302	n2^9	n1^10	e1r	1	9	10	real
303	n2^10	n1^11	e1r	1	10	11	real
304	n2^11	n1^12	e1r	1	11	12	real
305	n2^12	n1^13	e1r	1	12	13	real
306	n2^13	n1^14	e1r	1	13	14	real
307	n2^14	n1^15	e1r	1	14	15	real
308	n2^15	n1^16	e1r	1	15	16	real
309	n2^16	n1^17	e1r	1	16	17	real
310	n2^17	n1^18	e1r	1	17	18	real
311	n2^18	n1^19	e1r	1	18	19	real
312	n2^19	n1^20	e1r	1	19	20	real
313	n2^20	n1^21	e1r	1	20	21	real
314	n2^21	n1^22	e1r	1	21	22	real
315	n2^22	n1^23	e1r	1	22	23	real
316	n2^23	n1^24	e1r	1	23	24	real
317	n2^24	n1^25	e1r	1	24	25	real
318	n2^25	n1^26	e1r	1	25	26	real
319	n2^26	n1^27	e1r	1	26	27	real
320	n2^27	n1^28	e1r	1	27	28	real
321	n2^28	n1^29	e1r	1	28	29	real
322	n2^29	n1^30	e1r	1	29	30	real
323	n2^30	n1^31	e1r	1	30	31	real
324	n2^31	n1^32	e1r	1	31	32	real
325	n2^32	n1^33	e1r	1	32	33	real
326	n2^33	n1^34	e1r	1	33	34	real
327	n2^34	n1^35	e1r	1	34	35	real
328	n2^35	n1^36	e1r	1	35	36	real
329	n2^36	n1^37	e1r	1	36	37	real
330	n2^37	n1^38	e1r	1	37	38	real
331	n2^38	n1^39	e1r	1	38	39	real
332	n2^39	n1^40	e1r	1	39	40	real
333	n2^40	n1^41	e1r	1	40	41	real
334	n2^41	n1^42	e1r	1	41	42	real
335	n2^42	n1^43	e1r	1	42	43	real
336	n2^43	n1^44	e1r	1	43	44	real
337	n2^44	n1^45	e1r	1	44	45	real
338	n2^45	n1^46	e1r	1	45	46	real
339	n2^46	n1^47	e1r	1	46	47	real
340	n48^0	n48^1	w_n48	1	0	1	wait
341	n48^1	n48^2	w_n48	1	1	2	wait
342	n48^2	n48^3	w_n48	1	2	3	wait
343	n48^3	n48^4	w_n48	1	3	4	wait
344	n48^4	n48^5	w_n48	1	4	5	wait
345	n48^5	n48^6	w_n48	1	5	6	wait
346	n48^6	n48^7	w_n48	1	6	7	wait
347	n48^7	n48^8	w_n48	1	7	8	wait
348	n48^8	n48^9	w_n48	1	8	9	wait
349	n48^9	n48^10	w_n48	1	9	10	wait
350	n48^10	n48^11	w_n48	1	10	11	wait
351	n48^11	n48^12	w_n48	1	11	12	wait
352	n48^12	n48^13	w_n48	1	12	13	wait
353	n48^13	n48^14	w_n48	1	13	14	wait
354	n48^14	n48^15	w_n48	1	14	15	wait
355	n48^15	n48^16	w_n48	1	15	16	wait
356	n48^16	n48^17	w_n48	1	16	17	wait
357	n48^17	n48^18	w_n48	1	17	18	wait
358	n48^18	n48^19	w_n48	1	18	19	wait
359	n48^19	n48^20	w_n48	1	19	20	wait
360	n48^20	n48^21	w_n48	1	20	21	wait
361	n48^21	n48^22	w_n48	1	21	22	wait
362	n48^22	n48^23	w_n48	1	22	23	wait
363	n48^23	n48^24	w_n48	1	23	24	wait
364	n48^24	n48^25	w_n48	1	24	25	wait
365	n48^25	n48^26	w_n48	1	25	26	wait
366	n48^26	n48^27	w_n48	1	26	27	wait
367	n48^27	n48^28	w_n48	1	27	28	wait
368	n48^28	n48^29	w_n48	1	28	29	wait
369	n48^29	n48^30	w_n48	1	29	30	wait
370	n48^30	n48^31	w_n48	1	30	31	wait
371	n48^31	n48^32	w_n48	1	31	32	wait
372	n48^32	n48^33	w_n48	1	32	33	wait
373	n48^33	n48^34	w_n48	1	33	34	wait
374	n48^34	n48^35	w_n48	1	34	35	wait
375	n48^35	n48^36	w_n48	1	35	36	wait
376	n48^36	n48^37	w_n48	1	36	37	wait
377	n48^37	n48^38	w_n48	1	37	38	wait
378	n48^38	n48^39	w_n48	1	38	39	wait
379	n48^39	n48^40	w_n48	1	39	40	wait
380	n48^40	n48^41	w_n48	1	40	41	wait
381	n48^41	n48^42	w_n48	1	41	42	wait
382	n48^42	n48^43	w_n48	1	42	43	wait
383	n48^43	n48^44	w_n48	1	43	44	wait
384	n48^44	n48^45	w_n48	1	44	45	wait
385	n48^45	n48^46	w_n48	1	45	46	wait
386	n48^46	n48^47	w_n48	1	46	47	wait
387	n48^47	n48^48	w_n48	1	47	48	wait
388	n37^0	n37^1	w_n37	1	0	1	wait
389	n37^1	n37^2	w_n37	1	1	2	wait
390	n37^2	n37^3	w_n37	1	2	3	wait
391	n37^3	n37^4	w_n37	1	3	4	wait
392	n37^4	n37^5	w_n37	1	4	5	wait
393	n37^5	n37^6	w_n37	1	5	6	wait
394	n37^6	n37^7	w_n37	1	6	7	wait
395	n37^7	n37^8	w_n37	1	7	8	wait
396	n37^8	n37^9	w_n37	1	8	9	wait
397	n37^9	n37^10	w_n37	1	9	10	wait
398	n37^10	n37^11	w_n37	1	10	11	wait
399	n37^11	n37^12	w_n37	1	11	12	wait
400	n37^12	n37^13	w_n37	1	12	13	wait
401	n37^13	n37^14	w_n37	1	13	14	wait
402	n37^14	n37^15	w_n37	1	14	15	wait
403	n37^15	n37^16	w_n37	1	15	16	wait
404	n37^16	n37^17	w_n37	1	16	17	wait
