k	fr	to	eid	tau	t0	t1	kind
0	n25^0	n24^1	e29	1	0	1	real
1	n25^1	n24^2	e29	1	1	2	real
2	n25^2	n24^3	e29	1	2	3	real
3	n25^3	n24^4	e29	1	3	4	real
4	n25^4	n24^5	e29	1	4	5	real
5	n25^5	n24^6	e29	1	5	6	real
6	n25^6	n24^7	e29	1	6	7	real
7	n25^7	n24^8	e29	1	7	8	real
8	n25^8	n24^9	e29	1	8	9	real
9	n25^9	n24^10	e29	1	9	10	real
10	n25^10	n24^11	e29	1	10	11	real
11	n25^11	n24^12	e29	1	11	12	real
12	n25^12	n24^13	e29	1	12	13	real
13	n25^13	n24^14	e29	1	13	14	real
14	n25^14	n24^15	e29	1	14	15	real
15	n25^15	n24^16	e29	1	15	16	real
16	n25^16	n24^17	e29	1	16	17	real
17	n25^17	n24^18	e29	1	17	18	real
18	n25^18	n24^19	e29	1	18	19	real
19	n25^19	n24^20	e29	1	19	20	real
20	n25^20	n24^21	e29	1	20	21	real
21	n25^21	n24^22	e29	1	21	22	real
22	n25^22	n24^23	e29	1	22	23	real
23	n25^23	n24^24	e29	1	23	24	real
24	n25^24	n24^25	e29	1	24	25	real
25	n25^25	n24^26	e29	1	25	26	real
26	n25^26	n24^27	e29	1	26	27	real
27	n25^27	n24^28	e29	1	27	28	real
28	n25^28	n24^29	e29	1	28	29	real
29	n25^29	n24^30	e29	1	29	30	real
30	n25^30	n24^31	e29	1	30	31	real
31	n25^31	n24^32	e29	1	31	32	real
32	n25^32	n24^33	e29	1	32	33	real
33	n25^33	n24^34	e29	1	33	34	real
34	n25^34	n24^35	e29	1	34	35	real
35	n25^35	n24^36	e29	1	35	36	real
36	n25^36	n24^37	e29	1	36	37	real
37	n25^37	n24^38	e29	1	37	38	real
38	n25^38	n24^39	e29	1	38	39	real
39	n25^39	n24^40	e29	1	39	40	real
40	n44^0	n48^1	e57	1	0	1	real
41	n44^1	n48^2	e57	1	1	2	real
42	n44^2	n48^3	e57	1	2	3	real
43	n44^3	n48^4	e57	1	3	4	real
44	n44^4	n48^5	e57	1	4	5	real
45	n44^5	n48^6	e57	1	5	6	real
46	n44^6	n48^7	e57	1	6	7	real
47	n44^7	n48^8	e57	1	7	8	real
48	n44^8	n48^9	e57	1	8	9	real
49	n44^9	n48^10	e57	1	9	10	real
50	n44^10	n48^11	e57	1	10	11	real
51	n44^11	n48^12	e57	1	11	12	real
52	n44^12	n48^13	e57	1	12	13	real
53	n44^13	n48^14	e57	1	13	14	real
54	n44^14	n48^15	e57	1	14	15	real
55	n44^15	n48^16	e57	1	15	16	real
56	n44^16	n48^17	e57	1	16	17	real
57	n44^17	n48^18	e57	1	17	18	real
58	n44^18	n48^19	e57	1	18	19	real
59	n44^19	n48^20	e57	1	19	20	real
60	n44^20	n48^21	e57	1	20	21	real
61	n44^21	n48^22	e57	1	21	22	real
62	n44^22	n48^23	e57	1	22	23	real
63	n44^23	n48^24	e57	1	23	24	real
64	n44^24	n48^25	e57	1	24	25	real
65	n44^25	n48^26	e57	1	25	26	real
66	n44^26	n48^27	e57	1	26	27	real
67	n44^27	n48^28	e57	1	27	28	real
68	n44^28	n48^29	e57	1	28	29	real
69	n44^29	n48^30	e57	1	29	30	real
70	n44^30	n48^31	e57	1	30	31	real
71	n44^31	n48^32	e57	1	31	32	real
72	n44^32	n48^33	e57	1	32	33	real
73	n44^33	n48^34	e57	1	33	34	real
74	n44^34	n48^35	e57	1	34	35	real
75	n44^35	n48^36	e57	1	35	36	real
76	n44^36	n48^37	e57	1	36	37	real
77	n44^37	n48^38	e57	1	37	38	real
78	n44^38	n48^39	e57	1	38	39	real
79	n44^39	n48^40	e57	1	39	40	real
80	n44^40	n48^41	e57	1	40	41	real
81	n44^41	n48^42	e57	1	41	42	real
82	n44^42	n48^43	e57	1	42	43	real
83	n44^43	n48^44	e57	1	43	44	real
84	n44^44	n48^45	e57	1	44	45	real
85	n28^0	n25^1	e31	1	0	1	real
86	n28^1	n25^2	e31	1	1	2	real
87	n28^2	n25^3	e31	1	2	3	real
88	n28^3	n25^4	e31	1	3	4	real
89	n28^4	n25^5	e31	1	4	5	real
90	n28^5	n25^6	e31	1	5	6	real
91	n28^6	n25^7	e31	1	6	7	real
92	n28^7	n25^8	e31	1	7	8	real
93	n28^8	n25^9	e31	1	8	9	real
94	n28^9	n25^10	e31	1	9	10	real
95	n28^10	n25^11	e31	1	10	11	real
96	n28^11	n25^12	e31	1	11	12	real
97	n28^12	n25^13	e31	1	12	13	real
98	n28^13	n25^14	e31	1	13	14	real
99	n28^14	n25^15	e31	1	14	15	real
