Train,Node,s
1EMR1_1,n1,0
1EMR1_1,n10,0
1EMR1_1,n11,0
1EMR1_1,n12,0
1EMR1_1,n13,0
1EMR1_1,n14,0
1EMR1_1,n15,0
1EMR1_1,n16,0
1EMR1_1,n17,0
1EMR1_1,n18,0
1EMR1_1,n19,0
1EMR1_1,n2,0
1EMR1_1,n20,1
1EMR1_1,n21,0
1EMR1_1,n22,0
1EMR1_1,n23,0
1EMR1_1,n24,0
1EMR1_1,n25,0
1EMR1_1,n26,0
1EMR1_1,n27,0
1EMR1_1,n28,0
1EMR1_1,n29,0
1EMR1_1,n3,0
1EMR1_1,n30,0
1EMR1_1,n31,0
1EMR1_1,n32,0
1EMR1_1,n33,0
1EMR1_1,n34,0
1EMR1_1,n35,0
1EMR1_1,n36,0
1EMR1_1,n37,0
1EMR1_1,n38,0
1EMR1_1,n39,0
1EMR1_1,n4,0
1EMR1_1,n40,0
1EMR1_1,n41,0
1EMR1_1,n42,0
1EMR1_1,n43,0
1EMR1_1,n44,0
1EMR1_1,n45,0
1EMR1_1,n46,0
1EMR1_1,n47,0
1EMR1_1,n48,0
1EMR1_1,n49,0
1EMR1_1,n5,0
1EMR1_1,n50,0
1EMR1_1,n51,0
1EMR1_1,n52,0
1EMR1_1,n53,0
1EMR1_1,n54,0
1EMR1_1,n55,0
1EMR1_1,n56,0
1EMR1_1,n57,0
1EMR1_1,n58,0
1EMR1_1,n59,0
1EMR1_1,n6,0
1EMR1_1,n60,0
1EMR1_1,n61,0
1EMR1_1,n7,0
1EMR1_1,n8,0
1EMR1_1,n9,0
1EMR1_10,n1,0
1EMR1_10,n10,0
1EMR1_10,n11,0
1EMR1_10,n12,0
1EMR1_10,n13,0
1EMR1_10,n14,0
1EMR1_10,n15,0
1EMR1_10,n16,0
1EMR1_10,n17,0
1EMR1_10,n18,0
1EMR1_10,n19,0
1EMR1_10,n2,0
1EMR1_10,n20,1
1EMR1_10,n21,0
1EMR1_10,n22,0
1EMR1_10,n23,0
1EMR1_10,n24,0
1EMR1_10,n25,0
1EMR1_10,n26,0
1EMR1_10,n27,0
1EMR1_10,n28,0
1EMR1_10,n29,0
1EMR1_10,n3,0
1EMR1_10,n30,0
1EMR1_10,n31,0
1EMR1_10,n32,0
1EMR1_10,n33,0
1EMR1_10,n34,0
1EMR1_10,n35,0
1EMR1_10,n36,0
1EMR1_10,n37,0
1EMR1_10,n38,0
1EMR1_10,n39,0
1EMR1_10,n4,0
1EMR1_10,n40,0
1EMR1_10,n41,0
1EMR1_10,n42,0
1EMR1_10,n43,0
1EMR1_10,n44,0
1EMR1_10,n45,0
1EMR1_10,n46,0
1EMR1_10,n47,0
1EMR1_10,n48,0
1EMR1_10,n49,0
1EMR1_10,n5,0
1EMR1_10,n50,0
1EMR1_10,n51,0
1EMR1_10,n52,0
1EMR1_10,n53,0
1EMR1_10,n54,0
1EMR1_10,n55,0
1EMR1_10,n56,0
1EMR1_10,n57,0
1EMR1_10,n58,0
1EMR1_10,n59,0
1EMR1_10,n6,0
1EMR1_10,n60,0
1EMR1_10,n61,0
1EMR1_10,n7,0
1EMR1_10,n8,0
1EMR1_10,n9,0
1EMR1_11,n1,0
1EMR1_11,n10,0
1EMR1_11,n11,0
1EMR1_11,n12,0
1EMR1_11,n13,0
1EMR1_11,n14,0
1EMR1_11,n15,0
1EMR1_11,n16,0
1EMR1_11,n17,0
1EMR1_11,n18,0
1EMR1_11,n19,0
1EMR1_11,n2,0
1EMR1_11,n20,1
1EMR1_11,n21,0
1EMR1_11,n22,0
1EMR1_11,n23,0
1EMR1_11,n24,0
1EMR1_11,n25,0
1EMR1_11,n26,0
1EMR1_11,n27,0
1EMR1_11,n28,0
1EMR1_11,n29,0
1EMR1_11,n3,0
1EMR1_11,n30,0
1EMR1_11,n31,0
1EMR1_11,n32,0
1EMR1_11,n33,0
1EMR1_11,n34,0
1EMR1_11,n35,0
1EMR1_11,n36,0
1EMR1_11,n37,0
1EMR1_11,n38,0
1EMR1_11,n39,0
